"iso","year","Population","GDP","consumption","GDP_pc","consumption_pc","gdp_log_diff","consumption_log_diff","gdp_log_diff_total","cons_log_diff_total","gdp_dev","cons_dev","EHB_dev","ehb_crude_dev_non_ppp","eq_ehb_crude_dev_non_ppp","debt_ehb_crude_dev_non_ppp","fdi_ehb_crude_dev_non_ppp","eq_debt_ehb_crude_dev_non_ppp","time"
"AUS",1993,17634808,560396823165.016,426000692348.319,31777.8806077739,24156.8092121173,0.022928838801457,0.00838290418001719,0.00191849612916606,0.00789719321884874,0.021010342672291,0.000485710961168451,0.0563579225182711,-0.401856712001028,0.756982985996284,-1.18624871894108,0.574263179913134,-0.751273390004209,-5
"AUS",1994,17805468,584047149188.773,443906129567.236,32801.5612501044,24930.8880601867,0.03170564395848,0.031541223740648,0.0160077203411308,0.0131092060894371,0.0156979236173491,0.0184320176512109,0.0533295829634177,-0.50069562812909,0.572943895467129,-1.32785337802796,0.484233971504781,-0.901652135710696,-4
"AUS",1995,18004882,595520098743.082,450819102321.693,33075.4791252218,25038.7146287153,0.00831608257358774,0.00431569314479496,0.0164189616558748,0.00788541834596757,-0.00810287908228702,-0.0035697252011726,0.051120469869953,-0.489156965981911,0.539101393439418,-1.26800883766547,0.416171317222399,-0.849137349861227,-3
"AUS",1996,18224767,610735538564.649,457496547348.329,33511.2947432826,25103.0121454134,0.0130903426029985,0.00256463253568739,0.0143345315062628,0.0123294709505206,-0.00124418890326439,-0.00976483841483322,0.0714258900030031,-0.517204723919751,0.333725068529585,-1.25373844770296,0.400628033872596,-0.896140169067514,-2
"AUS",1997,18423037,645127011627.57,485625975097.712,35017.4084559223,26359.713390236,0.0439627837672578,0.0488489919396624,0.0195151624293839,0.0168126444876115,0.0244476213378739,0.0320363474520509,0.0738852339027554,-0.588265976398751,0.0639419944992046,-1.25634798335318,0.276102512621337,-0.95510922640484,-1
"AUS",1998,18607584,675021636679.606,515288936638.534,36276.6943134372,27692.4149120345,0.0353301828587824,0.0493217091339488,0.0174795874558704,0.0204575910758287,0.017850595402912,0.0288641180581202,0.0952939341760789,-0.552623308050515,-0.0200361496374861,-1.22280654294569,0.318441343546392,-0.938889253915481,0
"AUS",1999,18812264,708857671677.848,538354167712.555,37680.6147137765,28617.1918336121,0.0379702584865029,0.032849104488486,0.0160177399246013,0.0251573996252539,0.0219525185619016,0.00769170486323212,0.116284562724009,-0.534800211413108,-0.00694295314308757,-1.18462569857005,0.245039006668728,-0.848001619928575,1
"AUS",2000,19028802,724529283184.536,554743863533.703,38075.4018663149,29152.8527930294,0.010422689688447,0.0185451236849961,0.025208860152242,0.0275642349097236,-0.014786170463795,-0.00901911122472754,0.133679217702268,-0.624352740756018,-0.0647511811723489,-1.23006525666274,0.0254818326596979,-0.901571504279746,2
"AUS",2001,19274701,741844365846.537,561044003635.872,38487.9830741103,29107.7928335113,0.0107776113030642,-0.00154684068527544,0.00102400552994553,0.00920533032873294,0.00975360577311868,-0.0107521710140084,0.147715657608074,-0.5199850606839,-0.0095715382227779,-1.27791504588445,0.204573853060892,-0.90172510447711,3
"AUS",2002,19495210,764822090881.523,582715209470.837,39231.2824987021,29890.1735077918,0.0191283868450132,0.0265238478638103,0.00425210514906205,0.0134560726341046,0.0148762816959511,0.0130677752297057,0.145260351259815,-0.604472356704703,0.079071380715743,-1.30274059718573,0.0599579702103759,-0.93308548167299,4
