iso,country,year,gdp_nc,cons_nc,gni_nc,gni_approx,gdp_a3,acons_a4,gdp_b3,acons_b4,xr_c1,ppp_gdp_c2,ppp_cons_c3,pop_c4
NOR,Norway,1999,1428546.0,879193.0,1411375.0262789743,1,162.3,87.9,158.5,85.0,7.7992,9.21,9.3,4462.0
NOR,Norway,2000,1469075.0,906618.0,1454658.0,1,166.9,91.0,163.0,88.0,8.8018,9.01,9.1,4491.0
NOR,Norway,2001,1509127.0,934073.0,1498476.7212306377,1,171.5,93.7,167.5,90.6,8.9917,9.12,9.3,4513.0
NOR,Norway,2002,1529905.0,966112.0,1534969.586023561,1,173.8,95.3,169.8,92.2,7.9838,9.14,9.22,4539.0
NOR,Norway,2003,1536304.0,995198.0,1546073.8499995843,1,174.5,98.6,170.5,95.3,7.0802,9.25,9.3,4565.0
NZL,New Zealand,1992,86646.0,68793.0,80152.0,0,39.4,27.6,59.9,43.5,1.8618,1.46,1.43,3552.0
NZL,New Zealand,1993,92233.0,71038.0,85021.0,0,41.9,28.7,63.8,45.2,1.8505,1.47,1.41,3598.0
NZL,New Zealand,1994,97114.0,74542.0,89905.0,0,44.1,30.4,67.2,47.8,1.6865,1.45,1.4,3648.0
NZL,New Zealand,1995,101128.0,77498.0,93921.0,0,45.9,31.6,69.9,49.8,1.5239,1.46,1.4,3707.0
NZL,New Zealand,1996,104695.0,80417.0,96069.0,0,47.6,33.0,72.4,51.9,1.4549,1.47,1.4,3762.0
NZL,New Zealand,1997,106215.0,83258.0,98060.0,0,48.3,34.0,73.5,53.5,1.5124,1.45,1.4,3803.0
NZL,New Zealand,1998,106753.0,85188.0,99991.0,0,48.5,35.1,73.8,55.2,1.8683,1.45,1.41,3829.0
NZL,New Zealand,1999,112265.0,88401.0,103946.0,0,51.0,36.0,77.6,56.8,1.8896,1.43,1.4,3851.0
NZL,New Zealand,2000,114842.0,89149.0,107670.0,0,52.2,36.8,79.4,57.9,2.2012,1.45,1.4,3873.0
NZL,New Zealand,2001,118769.0,91942.0,113483.0,0,54.0,37.8,82.1,59.5,2.3788,1.48,1.4,3912.0
NZL,New Zealand,2002,124160.0,95811.0,117337.0,0,56.4,39.5,85.9,62.1,2.1622,1.47,1.4,3976.0
NZL,New Zealand,2003,128685.0,100396.0,123402.0,0,58.5,41.4,89.0,65.2,1.7229,1.47,1.39,4039.0
PRT,Portugal,1992,92740.0,76321.0,92208.4700051689,1,85.4,63.9,142.6,110.2,0.6734,0.546,0.55,9963.0
PRT,Portugal,1993,90845.0,76936.0,90398.56786679578,1,83.7,64.5,139.7,111.2,0.8021,0.573,0.579,9974.0
PRT,Portugal,1994,91722.0,78283.0,90884.80327737596,1,84.5,65.5,141.0,112.9,0.828,0.602,0.595,9998.0
PRT,Portugal,1995,95650.0,78819.0,95238.1796924295,1,88.1,65.9,147.1,113.6,0.7537,0.611,0.612,10030.0
PRT,Portugal,1996,99041.0,81272.0,98220.92260234257,1,91.2,68.3,152.3,117.7,0.7694,0.624,0.626,10058.0
PRT,Portugal,1997,102963.0,83763.0,101489.633055239,1,94.9,69.8,158.3,120.4,0.8745,0.636,0.634,10091.0
PRT,Portugal,1998,107679.0,87808.0,106064.289601141,1,99.2,73.3,165.6,126.4,0.8984,0.647,0.646,10129.0
PRT,Portugal,1999,111772.0,92377.0,110028.63408312506,1,103.0,76.9,171.9,132.7,0.9386,0.649,0.648,10172.0
PRT,Portugal,2000,115548.0,95281.0,112769.0,1,106.5,78.9,177.7,136.0,1.0854,0.65,0.629,10226.0
PRT,Portugal,2001,117430.0,96903.0,114352.19371685026,1,108.2,80.1,180.6,138.2,1.1175,0.658,0.636,10293.0
PRT,Portugal,2002,117881.0,98130.0,116076.87689361503,1,108.6,81.1,181.3,139.8,1.0626,0.658,0.63,10368.0
PRT,Portugal,2003,116467.0,97632.0,114943.46084455484,1,107.3,81.5,179.1,140.5,0.886,0.668,0.64,10444.0
SWE,Sweden,1992,1761105.0,1494530.0,1760364.0,0,192.2,145.6,191.6,149.1,5.8238,9.19,9.04,8668.0
SWE,Sweden,1993,1725966.0,1461693.0,1693101.0,0,188.4,140.5,187.8,143.8,7.7834,9.25,9.39,8719.0
SWE,Sweden,1994,1797849.0,1474855.0,1791405.0,0,196.2,141.8,195.6,145.2,7.716,9.27,9.47,8781.0
SWE,Sweden,1995,1870720.0,1482737.0,1875226.0,0,204.2,143.2,203.6,146.6,7.1333,9.39,9.55,8827.0
SWE,Sweden,1996,1894872.0,1501722.0,1897263.0,0,206.8,144.9,206.2,148.4,6.706,9.29,9.53,8841.0
SWE,Sweden,1997,1941063.0,1522276.0,1942287.0,0,211.9,147.0,211.2,150.5,7.6349,9.37,9.59,8846.0
SWE,Sweden,1998,2011824.0,1569741.0,2023569.0,0,219.6,152.2,218.9,155.8,7.9499,9.47,9.65,8851.0
SWE,Sweden,1999,2103933.0,1617724.0,2103590.0,0,229.6,156.7,228.9,160.4,8.2624,9.34,9.38,8858.0
SWE,Sweden,2000,2194967.0,1661798.0,2178517.0,0,239.6,161.3,238.8,165.2,9.1622,9.19,8.95,8872.0
SWE,Sweden,2001,2217947.0,1671433.0,2184004.0,0,242.1,162.8,241.3,166.7,10.3291,9.34,9.06,8896.0
SWE,Sweden,2002,2261773.0,1700172.0,2224700.0,0,246.9,165.6,246.1,169.6,9.7371,9.36,8.99,8925.0
SWE,Sweden,2003,2294943.0,1721550.0,2264595.0,0,250.5,167.1,249.7,171.1,8.0853,9.42,8.97,8959.0
TUR,Türkiye,1992,93761571.0,79665248.0,94639443.04520984,1,150.0,113.7,346.1,267.6,6872.0,3765.0,3677.0,58401.0
TUR,Türkiye,1993,101301895.0,86505549.0,102091918.79530008,1,162.0,123.5,373.9,290.5,10985.0,6175.0,5960.0,59491.0
TUR,Türkiye,1994,95775205.0,81835525.0,96257345.51289813,1,153.2,116.8,353.5,274.9,29609.0,12485.0,12188.0,60573.0
TUR,Türkiye,1995,102662609.0,85959135.0,103885058.13368642,1,164.2,122.6,378.9,288.5,45845.0,22905.0,22914.0,61646.0
TUR,Türkiye,1996,109854453.0,93262754.0,111386075.33266073,1,175.7,133.0,405.5,313.0,81405.0,39679.0,37377.0,62695.0
TUR,Türkiye,1997,118125175.0,100683693.0,120408458.36317375,1,188.9,143.8,436.0,338.4,151865.0,71466.0,67250.0,63745.0
TUR,Türkiye,1998,121777445.0,102030627.0,124793347.92256345,1,194.8,145.4,449.5,342.1,260724.0,124144.0,121801.0,64789.0
TUR,Türkiye,1999,116043011.0,100333419.0,117343657.98900294,1,185.6,142.5,428.3,335.3,418783.0,191772.0,190845.0,65819.0
TUR,Türkiye,2000,124583458.0,106636742.0,125596129.0,1,199.3,151.4,459.8,356.2,625218.0,270944.0,265653.0,67461.0
TUR,Türkiye,2001,115245368.0,96922220.0,113999664.05694227,1,184.3,137.5,425.3,323.7,1225590.0,424010.0,399746.0,68610.0
TUR,Türkiye,2002,124397937.0,99318754.0,123258849.57839897,1,199.0,140.7,459.1,331.3,1507230.0,611482.0,548213.0,69666.0
TUR,Türkiye,2003,131606074.0,104851420.0,130478623.41578163,1,210.5,149.1,485.7,350.9,1500890.0,732480.0,667781.0,70802.0
USA,United States,1992,7276.2,6228.9,7170.7,0,7276.2,5428.2,7276.2,5428.2,1.0,1.0,1.0,256922.0
USA,United States,1993,7472.0,6383.0,7329.3,0,7472.0,5600.1,7472.0,5600.1,1.0,1.0,1.0,260282.0
USA,United States,1994,7775.5,6575.1,7622.8,0,7775.5,5802.4,7775.5,5802.4,1.0,1.0,1.0,263455.0
USA,United States,1995,7972.8,6718.1,7873.5,0,7972.8,5950.3,7972.8,5950.3,1.0,1.0,1.0,266588.0
USA,United States,1996,8271.4,6911.4,8185.6,0,8271.4,6144.4,8271.4,6144.4,1.0,1.0,1.0,269714.0
USA,United States,1997,8647.6,7141.1,8605.7,0,8647.6,6363.7,8647.6,6363.7,1.0,1.0,1.0,272958.0
USA,United States,1998,9012.5,7458.5,9086.8,0,9012.5,6678.8,9012.5,6678.8,1.0,1.0,1.0,276154.0
USA,United States,1999,9417.1,7816.3,9517.2,0,9417.1,7010.6,9417.1,7010.6,1.0,1.0,1.0,279328.0
USA,United States,2000,9764.8,8143.5,9930.9,0,9764.8,7327.7,9764.8,7327.7,1.0,1.0,1.0,282425.0
USA,United States,2001,9838.9,8359.5,10008.7,0,9838.9,7514.5,9838.9,7514.5,1.0,1.0,1.0,285358.0
USA,United States,2002,10023.5,8635.7,10126.6,0,10023.5,7753.7,10023.5,7753.7,1.0,1.0,1.0,288240.0
USA,United States,2003,10330.0,8916.3,10405.3,0,10330.0,8006.0,10330.0,8006.0,1.0,1.0,1.0,291085.0
