"iso","year","Population","GDP","consumption","GDP_pc","consumption_pc","gdp_log_diff","consumption_log_diff","gdp_log_diff_total","cons_log_diff_total","gdp_dev","cons_dev","EHB_dev","ehb_crude_dev","eq_ehb_crude_dev","debt_ehb_crude_dev","fdi_ehb_crude_dev","eq_debt_ehb_crude_dev","time"
"MEX",1987,79665004,9808513537.56664,7132532429.91986,123.121986381456,89.5315643230227,0.030858603612363,-0.00762766387586744,0.0263884259116285,0.0256711609223075,0.00447017770073455,-0.0332988247981749,0.0101815263085758,-0.11986685446537,-0.805415813534548,-0.00318658018266271,0.0636519726251072,-0.057854098485141,-10
"MEX",1988,81282371,9250589003.85855,7035189077.96962,113.808060592358,86.5524589331876,-0.078662272703391,-0.0338405453365764,0.0364906014573148,0.027747718061808,-0.115152874160706,-0.0615882633983844,0.0466707035165566,-0.464951046972204,-1.07008872270074,-0.378860330731699,-0.0213100945713083,-0.439185490661602,-9
"MEX",1989,82889981,10162667938.3075,7837865860.48075,122.604298079252,94.5574575590836,0.0744487302306576,0.0884569744611667,0.0304836646236,0.0283504260475418,0.0439650656070576,0.060106548413625,0.0582977101754956,-0.62921793407259,-1.40345740095094,-0.568626891951924,-0.275020928282741,-0.62546165661985,-8
"MEX",1990,84502988,10802419776.2074,8422128333.44611,127.83476693401,99.6666334857426,0.0417764660536797,0.0526232855727553,0.0164458339043234,0.0205820614091339,0.0253306321493563,0.0320412241636214,0.0715917004355331,-0.651802948505088,-1.53883091132411,-0.590770095119596,-0.0993420018911118,-0.645786242528007,-7
"MEX",1991,86127477,11312518840.4258,9002643436.13178,131.346223463922,104.526961078075,0.0270982173320986,0.0476140870719721,-0.00141331299475933,0.00452667529189377,0.0285115303268579,0.0430874117800784,0.0707950513921163,-0.862674509391022,-1.36121489290091,-0.822556399130274,-0.203621391879017,-0.875853118816169,-6
"MEX",1992,87753131,11611686051.9373,9491907966.27845,132.322185198581,108.16603189097,0.00740298162251651,0.0342223400868651,0.00822094545024843,0.0165018474627896,-0.000817963827731916,0.0177204926240755,0.0790741652976731,-1.02746185606087,-1.06908331725191,-1.09110324992461,0.0797332719863384,-1.1264518642975,-5
"MEX",1993,89364560,12958195364.1811,10321383348.5304,145.003739336725,115.497500894431,0.0915197849786171,0.0655815134877153,0.00361881945756348,0.00911361657858833,0.0879009655210536,0.056467896909127,0.0698915072588715,-1.35120528037365,-1.46502114689659,-1.39908560398864,-0.341756709002135,-1.44769608862448,-4
"MEX",1994,90953505,13703992977.7349,10855568582.8117,150.670312020795,119.352943933405,0.0383345550825247,0.0328361264185046,0.0180921203943054,0.0149797630443098,0.0202424346882193,0.0178563633741948,0.0589150409205169,-1.31379083778558,-1.35878918530365,-1.42691077380991,-0.177295894554896,-1.4733799302897,-3
"MEX",1995,92506744,13257940527.3245,10187531546.6708,143.318637691156,110.127446996413,-0.0500236986726659,-0.0804467146873868,0.0189567142277136,0.0100831862779449,-0.0689804129003795,-0.0905299009653318,0.0452510860924856,-0.655568574861777,-0.774431588022818,-0.765205374950732,0.426241466395618,-0.823621224720136,-2
"MEX",1996,94005638,13277353261.8027,10158897275.5292,141.2399675624,108.066893557269,-0.0146100456298761,-0.0188878840070643,0.0156695395914666,0.0140774563943511,-0.0302795852213427,-0.0329653404014154,0.0492008464463703,-0.712133729227951,-0.903978091017059,-0.767490376628648,0.273624497540476,-0.837115011636033,-1
"MEX",1997,95438019,13891941826.7113,10659585943.6064,145.559830057991,111.691190316999,0.0301268638412324,0.0329874136500994,0.02050062055583,0.0175132404659122,0.0096262432854024,0.0154741731841872,0.0621679225355635,-0.911340278976904,-0.962918069191374,-0.922628893096592,-0.10396593752067,-0.996410058371846,0
"MEX",1998,96799183,14724151327.2365,11205167975.6773,152.110285137804,115.756844514662,0.0440186126335131,0.0357539892699972,0.0149938500692626,0.0174862766889339,0.0290247625642506,0.0182677125810633,0.069237192868023,-1.06881082341378,-1.1341593984913,-1.04384040263246,-0.359173313667668,-1.13547812888146,1
"MEX",1999,98085415,14965440051.1048,11439898252.8971,152.575589868328,116.632001331667,0.00305432663885075,0.00753186712595166,0.0182258328903169,0.0272492682614001,-0.0151715062514661,-0.0197174011354484,0.116215691291017,-1.2759089952143,-1.6278056577221,-1.185282992486,-0.670986144149491,-1.32556024680594,2
"MEX",2000,99368858,15891282984.1498,12402543540.4194,159.922165797153,124.813183828875,0.0470270885933779,0.0677943997900918,0.0268436568591222,0.0293540444884357,0.0201834317342557,0.0384403553016561,0.115618111847588,-1.29327644174885,-1.74515326336874,-1.111797009861,-1.01967475775839,-1.27380821128399,3
"MEX",2001,100739263,15835295058.2083,12448492027.7804,157.190896445294,123.571402619655,-0.0172262654392714,-0.00999894214810215,0.00215289391887818,0.0106107106280655,-0.0193791593581496,-0.0206096527761677,0.0497619331364866,-1.11408166331517,-0.86229588472651,-1.23248768188382,-0.290985695545044,-1.29567833890092,4
"MEX",2002,102167274,15868762725.2054,12615243828.9355,155.321387210599,123.476367089284,-0.0119645315343178,-0.000769369706684842,0.00638623846891573,0.0153392187404462,-0.0183507700032335,-0.016108588447131,0.0509725707594572,-1.16444202055879,-0.875104432231442,-1.3269525606277,-0.348123289965599,-1.37852661246436,5
"MEX",2003,103587899,16015849247.7301,12996469907.9218,154.611198820917,125.463205966961,-0.00458286520796225,0.015962757884675,0.0110470774483113,0.0166019935238024,-0.0156299426562736,-0.000639235639127378,0.0190592528727983,-1.05439911961041,-0.75104230143989,-1.26061514341159,-0.198585868712175,-1.29833794426299,6
"MEX",2004,104970581,17130182939.5821,13693021771.8058,163.190322244497,130.446279722942,0.0540035698766532,0.0389489563389676,0.0263858068989702,0.0212830416609107,0.027617762977683,0.0176659146780569,0.0293024394126497,-1.04415841065129,-0.781031665304077,-1.25874703191162,-0.188126907718762,-1.28958057337031,7
"MEX",2005,106370948,17811273864.9729,14481095284.3783,167.444910474737,136.137691321303,0.025737263680675,0.0427053173750949,0.0193022056726155,0.0193163187011001,0.00643505800805944,0.0233889986739948,0.0324629321615135,-1.01725450287015,-1.04318115107445,-1.22585256997674,-0.100791965829394,-1.27406473651983,8
"MEX",2006,107885646,19113424421.9353,15131414557.3084,177.16373892719,140.254196163486,0.0564199791570106,0.0297896533702282,0.0220147135635518,0.0167770598408197,0.0344052655934588,0.0130125935294085,0.0475883913637566,-1.06873745160204,-1.22393662252579,-1.31358086961498,-0.145362895512557,-1.36266249954569,9
"MEX",2007,109538665,19916099882.4461,15787663106.3852,181.817989861809,144.128679187255,0.0259317473461698,0.0272500428909064,0.0176900974428609,0.015227656370616,0.00824164990330889,0.0120223865202904,0.0804185471824349,-1.05370205591561,-1.40842244263517,-1.22524529160776,-0.272002325392496,-1.30267713914447,10
"MEX",2008,111275915,20330669781.388,16373088710.3874,182.705033532081,147.139555854359,0.00486688282638159,0.0206749899600487,-0.0167928531087504,-0.00513339052490291,0.021659735935132,0.0258083804849516,0.0571067550058492,-1.02105771576282,-1.4411411837588,-1.02868499509841,-0.553638487875265,-1.1126551509666,11
"MEX",2009,113030218,19041054214.0069,15328557162.3128,168.459855699888,135.614682812633,-0.0811755375064651,-0.0815638460018748,-0.0382893276384815,-0.0127238407540204,-0.0428862098679836,-0.0688400052478544,0.102270788677974,-0.993059387780846,-1.33868412336357,-1.25906380390162,-0.266501951831872,-1.33081274055482,12
"MEX",2010,114756059,20029145205.5486,16387227804.8967,174.536711874609,142.80054532804,0.0354376264475906,0.0516312187484465,0.0182857770671028,0.0122087170534364,0.0171518493804879,0.03942250169501,0.0932795000943857,-0.917898569683996,-1.00243024012069,-1.25720904982318,-0.17022699927611,-1.30070928553115,13
"MEX",2011,116446180,21172230467.385,17198360088.4805,181.819879942691,147.693639142826,0.0408814236342856,0.033691253827203,0.00393705771288744,0.000771261829759062,0.0369443659213982,0.0329199919974439,0.107676115541245,-0.965532942987511,-1.16354464053969,-1.30714440368563,-0.257560050025131,-1.34539205343888,14
"MEX",2012,118060514,22015225164.2203,17746841688.7618,186.474075186733,150.319874846231,0.0252756959949503,0.0176253999733769,0.0011010074539648,-0.00262632992958434,0.0241746885409855,0.0202517299029612,0.127955827966089,-0.891865975067145,-0.927081724695899,-1.34612718612159,-0.15893321518844,-1.33090960122668,15
"MEX",2013,119597654,21753118112.6919,17937754219.2856,181.885826227761,149.984164566352,-0.0249130605747521,-0.00223580355683772,0.00944826426052359,0.00465162136883635,-0.0343613248352757,-0.00688742492567407,0.106112110768253,-0.938055729524665,-0.760978346782974,-1.2522198631541,-0.295393100674976,-1.2543933604862,16
"MEX",2014,121048604,22372738438.6981,18471447453.1612,184.824423408453,152.595295135838,0.0160271499711042,0.0172595680583232,0.0148832913327048,0.00905130252420072,0.00114385863839939,0.00820826553412246,0.103880215946416,-0.902540665520907,-0.780662204915422,-1.22447675378046,-0.260834044404735,-1.22495607217138,17
"MEX",2015,122368490,23090237541.5711,18714753046.9481,188.694308000132,152.937680663937,0.0207219758621262,0.00224123547072264,0.0267705816951347,0.0172220531417135,-0.00604860583300848,-0.0149808176709909,0.0851624667929656,-0.793040624884892,-0.755546543822096,-1.01765726506405,-0.217407374912591,-1.06223534774153,18
"MEX",2016,123587407,24243631291.5924,19517154958.1847,196.165870618132,157.921874339387,0.038832292364245,0.0320699220370395,0.0157056923493712,0.014961983003583,0.0231266000148738,0.0171079390334565,0.0590424235484553,-0.692692367697292,-0.655210390132548,-0.885061843931454,-0.138593233505323,-0.943127544997313,19
"MEX",2017,124777172,24819952074.6732,19719791474.6707,198.914205834647,158.040057797357,0.0139130253011315,0.000748086724762231,0.0185754166562608,0.0127129942470035,-0.00466239135512936,-0.0119649075222412,0.0478327309672976,-0.743733881052536,-0.641232274454544,-0.98805118214953,-0.153942038560259,-1.02076997323304,20
"NLD",1975,13666329,4112751414.45803,2961406727.77614,300.940465757705,216.693651073097,-0.00386429823720214,0.0293548875176048,-0.00933551755570505,0.0193647328665918,0.00547121931850292,0.00999015465101305,-0.203611555119291,1.72727117992115,2.02289145272742,1.26412452751806,2.57277742589742,1.40877620980868,-22
"NLD",1976,13774037,4310564885.69995,3119249983.53974,312.948548468394,226.458661577556,0.0391263381320215,0.0440778087938476,0.0351278210121118,0.02958742031044,0.00399851711990973,0.0144903884834076,-0.170464495584845,1.71134711156166,2.72161718148584,1.36599222520342,2.57431968298291,1.45507417902021,-21
"NLD",1977,13856188,4393046204.01216,3237393364.69025,317.04579961041,233.642424936083,0.0130074465697225,0.0312294293857391,0.0222098391100305,0.0204536093697749,-0.00920239254030797,0.0107758200159642,-0.122657069490763,1.63690989433085,2.67770318679404,1.31213072809346,2.75049982874654,1.38064617517534,-20
