"iso","year","Population","GDP","GNI","GDP_pc","GNI_pc","gdp_log_diff","GNI_log_diff","gdp_log_diff_total","gni_log_diff_total","gdp_dev","gni_dev","EHB_dev","ehb_crude_dev","eq_ehb_crude_dev","debt_ehb_crude_dev","fdi_ehb_crude_dev","eq_debt_ehb_crude_dev","time"
"AUS",1998,18607584,6750216366.79606,6540086533.1769,362.766943134372,351.474244758315,0.0353301828587824,0.0356621422227059,0.0160721867973272,0.0185109436921715,0.0192579960614552,0.0171511985305344,0.00564824555557275,0.410694309068268,1.62754273786791,-0.439946248584962,1.81315171282677,-0.054964960332194,-8
"AUS",1999,18812264,7088576716.77848,6884710581.74845,376.806147137765,365.969273116115,0.0379702584865029,0.0404129404565969,0.022100958245586,0.0217763250343435,0.0158693002409169,0.0186366154222535,0.00922138540425022,0.453371949111,1.65908058793867,-0.412483226866028,1.77543347057812,0.0556783095458002,-7
"AUS",2000,19028802,7245292831.84536,7042980651.15467,380.754018663149,370.122125983269,0.010422689688447,0.0112836447596907,0.027176839470922,0.0304112720134464,-0.016754149782475,-0.0191276272537557,-0.0114294762861026,0.44601230232473,2.04090913944662,-0.392104358458553,1.60859161585559,0.0869900949120912,-6
"AUS",2001,19274701,7418443658.46537,7217700143.2453,384.879830741103,374.464960221448,0.0107776113030642,0.0116652130160597,0.00425996143719942,0.00501754747428595,0.00651764986586478,0.00664766554177376,-0.0129765696903141,0.6118028899832,1.99841305273919,-0.352937569171191,1.83987009894821,0.152693015895868,-5
"AUS",2002,19495210,7648220908.81523,7433551920.17197,392.312824987021,381.301454058303,0.0191283868450141,0.0180920458613567,0.00879217545746691,0.00696410568192984,0.0103362113875471,0.0111279401794269,-0.0151038247877775,0.539176919485627,2.12715151485457,-0.315616494082801,1.60186130062746,0.14732361606863,-4
"AUS",2003,19720737,8009564148.30997,7782114519.06414,406.149331452976,394.615805639725,0.0346613589706664,0.0343223673464461,0.012585298916461,0.0115803435488413,0.0220760600542054,0.0227420237976048,-0.0151497317051072,0.61677456977324,2.04002936612861,-0.239063179612802,1.67876538551438,0.217995850682624,-3
"AUS",2004,19932722,8381930115.19901,8072055603.43692,420.511062924522,404.965042076888,0.0347498846069882,0.0258880998955853,0.0246779883891426,0.0264975503942484,0.0100718962178457,-0.000609450498663122,-0.011260327633441,0.585675766816012,1.88242794397228,-0.250012304592301,1.63042803875184,0.190305636721127,-2
"AUS",2005,20176844,8817171787.11359,8475407085.70628,436.994595741217,420.056133937809,0.0384500402510168,0.0365876070580544,0.0188036959858069,0.0200701105171639,0.0196463442652099,0.0165174965408905,-0.0488683056594607,0.588312805580828,1.64897953921225,-0.108270310356416,1.57061411122501,0.293037354551136,-1
"AUS",2006,20450966,9277607127.96001,8865297755.73666,453.651290993297,433.490415843274,0.0374079931088334,0.031481332615189,0.0215959247870119,0.0249290847028139,0.0158120683218215,0.00655224791237519,-0.0499099032630628,0.650820816596636,1.62146730148489,0.0352632244396032,1.50608075398378,0.42196695804633,0
"AUS",2007,20827622,9824285338.51402,9423648203.90962,471.695008605112,452.459152749633,0.0390037871163429,0.0428278017040089,0.0188704715638783,0.0132338816895707,0.0201333155524646,0.0295939200144382,-0.0607466464645943,0.678914032332875,1.55381835174491,0.0812928887710227,1.37388903700373,0.499531597610062,1
