"iso","year","Population","GDP","GNI","GDP_pc","GNI_pc","gdp_log_diff","GNI_log_diff","gdp_log_diff_total","gni_log_diff_total","gdp_dev","gni_dev","EHB_dev","ehb_crude_dev","eq_ehb_crude_dev","debt_ehb_crude_dev","fdi_ehb_crude_dev","eq_debt_ehb_crude_dev","time","resid_stage1"
"AUS",1993,17634808,5603968231.65016,5480924284.13893,317.778806077739,310.801471960394,0.0229288388014579,0.0276648186664596,-0.00135462222161831,-0.00166973190616737,0.0242834610230762,0.029334550572627,-0.0320286875207326,0.143399160753927,1.5636949432456,-0.834617137049552,1.86937001289265,-0.350211327749302,-13,0.00862928138041528
"AUS",1994,17805468,5840471491.88773,5639641665.01439,328.015612501044,316.736502798713,0.0317056439584791,0.0189158522464234,0.0220913250613259,0.0224786054372377,0.00961431889715314,-0.00356275319081423,-0.0391361538559715,0.114276950828624,1.58066253963556,-0.897164866136696,1.81408615370832,-0.421570448010313,-12,-0.0118849134163185
"AUS",1995,18004882,5955200987.43082,5745066485.71781,330.754791252218,319.083817695545,0.00831608257358774,0.00738361290243184,0.0196658274612975,0.0181449363020514,-0.0113497448877098,-0.0107613233996195,-0.045749242274728,0.198886221298125,1.73649730774935,-0.775177189755927,1.77191154830945,-0.298092618697098,-11,-0.00133834007079069
"AUS",1996,18224767,6107355385.64649,5902664286.22065,335.112947432825,323.881467797127,0.0130903426029993,0.014923789055743,0.0169687253259871,0.0199157558270775,-0.00387838272298779,-0.00499196677133451,-0.0330428418400678,0.272932755190745,1.71016767848438,-0.651885845886674,1.83724740877744,-0.216435765450039,-10,-0.00184293418706686
"AUS",1997,18423037,6451270116.27569,6248371734.66892,350.174084559223,339.160787370124,0.0439627837672569,0.0460966852389548,0.020118714724223,0.0234582751556349,0.0238440690430339,0.0226384100833199,-0.0346578180158259,0.231845440576395,1.66050967718872,-0.65229394863625,1.73015637516077,-0.251823038935821,-9,0.00180483255573105
"AUS",1998,18607584,6750216366.79606,6540086533.1769,362.766943134372,351.474244758315,0.0353301828587824,0.0356621422227059,0.0166442682700927,0.0190432546603718,0.0186859145886897,0.0166188875623341,-0.00439199109854649,0.317926870454974,1.64962394626058,-0.573259001375922,1.74883582915753,-0.169591759238441,-8,-0.000229735229736604
"AUS",1999,18812264,7088576716.77848,6884710581.74845,376.806147137765,365.969273116115,0.0379702584865029,0.0404129404565969,0.0228857791746693,0.0226003218471122,0.0150844793118337,0.0178126186094847,0.00171371400556442,0.318802194386597,1.62747114655511,-0.593721883011129,1.64177961831472,-0.100718285173894,-7,0.00402796222116412
"AUS",2000,19028802,7245292831.84536,7042980651.15467,380.754018663149,370.122125983269,0.010422689688447,0.0112836447596907,0.0275917314821177,0.030749892461027,-0.0171690417936707,-0.0194662477013363,-0.0199113810565089,0.288718349369573,1.90389178624772,-0.585395440729595,1.47464784031572,-0.0899446034422726,-6,-0.00433318263306397
"AUS",2001,19274701,7418443658.46537,7217700143.2453,384.879830741103,374.464960221448,0.0107776113030642,0.0116652130160597,0.00429049256645264,0.00495620591270285,0.00648711873661156,0.00670900710335687,-0.0245830014207918,0.451633476473925,1.91290229660599,-0.554045896337641,1.67983508792385,-0.0263098063695999,-5,0.000711557103147702
"AUS",2002,19495210,7648220908.81523,7433551920.17197,392.312824987021,381.301454058303,0.0191283868450141,0.0180920458613567,0.00834388227701144,0.00648753469019425,0.0107845045680026,0.0116045111711625,-0.0278914962453836,0.372674222002056,2.01680747833323,-0.525528700896153,1.45914678664066,-0.0408171309860585,-4,0.0017229069675115
