iso,year,gdp_dev,gni_dev
AUS,1990,NA,NA
AUS,1991,-0.0270057032264841,-0.03976218772606721
AUS,1992,-0.026389525879547904,-0.031685475244824346
AUS,1993,0.018956084644074167,0.012204566557569407
AUS,1994,-0.0026304478108212237,-0.19567842442126704
AUS,1995,0.00261700223034822,-0.17666554416875613
AUS,1996,-0.0035069451823215303,-0.0012417354446760953
AUS,1997,-0.007256032490822406,-0.0015736398495675985
AUS,1998,0.004369746360433524,0.0016964344167469392
AUS,1999,0.006351370095019959,-0.06337205513903754
AUS,2000,-0.012147848160184438,-0.0014056861452313996
AUS,2001,-0.007085648066530226,-0.004334554653526723
AUS,2002,0.014413757790039838,0.019197874508183332
AUS,2003,-1.5056251554312894e-4,0.001642879830427546
AUS,2004,-1.822559509641053e-4,0.01203458108278177
AUS,2005,-0.007655868157204537,-2.487156212183095e-4
AUS,2006,-0.01636372455283741,-0.008550500001801353
AUS,2007,-0.006668691763168866,0.006825346247673281
AUS,2008,0.0116998042336256,0.03814964352399741
AUS,2009,0.03517186010466311,0.04545150219444061
AUS,2010,-0.021048412895583013,-0.03615092834676403
AUS,2011,-0.007792796935458313,0.03170931187811554
AUS,2012,0.009723041436020097,0.019015111899026493
AUS,2013,-0.00428246191497017,-0.019105772917747288
AUS,2014,-0.009890613511059243,-0.022098763268397548
AUS,2015,-0.017113543206102477,-0.036154008724054165
AUS,2016,-0.006278516951937263,-0.03056520049448963
AUS,2017,-0.01858500624905446,0.004515926232514289
AUS,2018,-0.009619203960262723,-0.009361697744479258
AUS,2019,-0.011104073731310393,-0.0032935782908865008
AUS,2020,0.031319222917971956,0.045753533951488734
AUS,2021,-0.03973093955054452,-0.013297086925076584
AUS,2022,-0.0022105913208179118,0.003052795780165596
AUS,2023,-0.005612096891873364,-0.003184162247448441
AUS,2024,-0.02353789252333449,0.6150593129386621
AUS,2025,NA,NA
AUT,1990,NA,NA
AUT,1991,0.013446903175275082,NA
AUT,1992,-0.009801186318243893,NA
AUT,1993,-0.014800176526138742,NA
AUT,1994,-0.012126152423874714,NA
AUT,1995,3.8750732600512094e-4,NA
AUT,1996,-0.008731000743395612,-0.012358307589964923
AUT,1997,-0.01476910128103981,-0.02156820501657286
AUT,1998,0.0018649891603512714,-0.004209676349274716
AUT,1999,0.00321562836494671,-0.07030135913028701
AUT,2000,-0.01012401908545435,-0.006152750647363092
AUT,2001,-0.005101054345036715,-0.01260019202774565
AUT,2002,-0.003152205414954423,0.00841198754593897
AUT,2003,-0.012208103978510465,-0.010201987574141924
AUT,2004,-0.011770172170136206,-0.01203253723499742
AUT,2005,-0.010419919657337573,-0.014345769062460434
AUT,2006,-0.003208384182411095,-0.00814974525152401
AUT,2007,0.008157307594908403,0.008169727443380737
AUT,2008,0.007394478791088233,0.022231837830075207
AUT,2009,-0.00249126811471001,-0.015328579092694028
AUT,2010,-0.011767799324776007,-0.015273544519915916
AUT,2011,0.008009019702026166,-0.004571941422328862
AUT,2012,-0.009811656653686995,-0.017915155371651892
AUT,2013,-0.021807435358741856,-0.019450078337401422
AUT,2014,-0.020963794327089502,-0.0228425668971024
AUT,2015,-0.021142817935468017,-0.02762074914515189
AUT,2016,-0.009593614078104551,0.004138880304061843
AUT,2017,-0.008629727024775491,-0.02572538670053781
AUT,2018,-0.0032893484233333936,-0.006522361648436004
AUT,2019,-0.005141971622361297,-0.005141916088623688
AUT,2020,-0.02468916268813892,-0.0052490921875758545
AUT,2021,-0.014013653602875209,-0.01948359326663862
AUT,2022,0.00954638959043308,-0.025260489698752053
AUT,2023,-0.03303712370039236,-0.018411953038221185
AUT,2024,-0.028828018377920372,0.6142168593715418
AUT,2025,NA,NA
BEL,1990,NA,NA
BEL,1991,0.0039536124848265075,NA
BEL,1992,-0.008413362042002603,NA
BEL,1993,-0.025347824098505,NA
BEL,1994,-0.003224565615012054,NA
BEL,1995,-0.002917675468383507,NA
BEL,1996,-0.01812028520526532,-0.024781634082053472
BEL,1997,-2.3855553159535248e-6,-0.0029424429325803914
BEL,1998,-0.014071210061944228,-0.015573505139506949
BEL,1999,6.966853576066967e-4,-0.06715680516077072
BEL,2000,-0.005045520395698944,-0.01299505187344785
BEL,2001,-0.006868252592990842,-0.015119316928281279
BEL,2002,-5.051295553997193e-4,0.0017240191060405863
BEL,2003,-0.012948988403209682,-0.015031733745638931
BEL,2004,-5.2316126252449635e-5,-0.011811930668084614
BEL,2005,-0.009100680084623392,-0.014693362585401104
BEL,2006,-0.011599585339141072,-0.02454843306075638
BEL,2007,0.0031569876216241965,0.009352284345482076
BEL,2008,-0.007302909259466972,-0.0065470159078167
BEL,2009,0.009127723829239542,0.014715592848780545
BEL,2010,-0.009745854249935348,-0.029392442574646793
BEL,2011,-0.011447189305993533,-0.03410855912146715
BEL,2012,-0.015622143724289828,0.002998355902620986
BEL,2013,-0.014934651349618022,-0.01107217150576112
BEL,2014,-0.0075966902557560445,-0.012987123793486433
BEL,2015,-0.015290899793795276,-0.014476362422406908
BEL,2016,-0.011039011934972365,-0.009047596144256431
BEL,2017,-0.014011703838853862,-0.018248037410160123
BEL,2018,-0.008942302316224726,-0.01345876431351023
BEL,2019,7.008435037345606e-4,0.0023894033952309712
BEL,2020,-0.00844337887420643,-0.00298308253416657
BEL,2021,-0.0016429303598783918,-0.01383707943112178
BEL,2022,-4.063907424516344e-4,-0.030948699416773806
BEL,2023,-0.008092016572765814,0.017332622273583453
BEL,2024,-0.012363142388704063,0.6354902449264088
BEL,2025,NA,NA
CAN,1990,NA,NA
CAN,1991,-0.043966082983830646,-0.04869541018797818
CAN,1992,-0.022486283099445004,-0.03565952242931658
CAN,1993,0.0034324319977177,-0.0036354336512776086
CAN,1994,9.928134958681056e-4,-0.19077736866787554
CAN,1995,-0.00828941887463941,-0.17619101618272914
CAN,1996,-0.02300123432466883,-0.019555503716954803
CAN,1997,-0.0028940541187232327,-0.006313502852105302
CAN,1998,-0.0014792077371978962,-0.023355595908805427
CAN,1999,0.010235962637672458,-0.044803692956023156
CAN,2000,0.001679532380176596,0.028193592939466328
CAN,2001,-0.006641612492749971,-0.0152117966147447
CAN,2002,0.005754829070861334,-0.0010430243897410207
