iso,year,EHB_dev,ehb_crude_dev,eq_ehb_crude_dev,debt_ehb_crude_dev,fdi_ehb_crude_dev,eq_debt_ehb_crude_dev
ARG,1998,-0.12461268614952359,0.25716363631739836,0.5540886233534517,0.41246766615839947,0.425584384603662,0.33489826097149766
ARG,1999,-0.058798960736018646,0.29837449175511854,0.4818360497678911,0.48135554017549254,0.47277455964796866,0.36839351972160694
ARG,2000,-0.06921282863196687,0.26873195880599254,0.7469736009630408,0.44911646362669067,0.3561358306386979,0.3404263238828644
ARG,2001,-0.10392571494584879,0.24172853988697407,0.5811797666586016,0.4055549803138536,0.3509188862541288,0.31165359724572883
ARG,2002,-0.19387623089066874,1.1807513090011847,1.4973748908795996,1.367953384563726,1.1333027415658283,1.2744066282526443
ARG,2003,-0.10619627702586265,1.0025888428815437,1.3400345620147989,1.2057889138635085,0.8980831177240975,1.1086395688210298
ARG,2004,-0.11666838770665511,0.8098237752687244,1.1224503150818843,1.011346661456293,0.6628283028649862,0.9215044508122376
ARG,2005,-0.11192446510511822,0.6294307735028222,0.7141599563363097,0.8371196435297571,0.5936240819998768,0.7366363245148899
ARG,2006,-0.14302432181945435,0.29237002850257215,0.4701383270281658,0.4911457331743737,0.2871902515483433,0.41369603728967297
ARG,2007,-0.13202004596338845,0.12045794570454671,0.16931793867471434,0.36856349333919824,-0.04982302711625497,0.2782454162338007
ARG,2008,-0.07389119642688213,0.09885576243447247,0.017105640587471882,0.39450814948709456,-0.2177792722068621,0.3021757482468117
ARG,2009,-0.10272283251652858,0.043658809332765,-0.10566933655106592,0.4247728318722288,-0.4057775363833329,0.28449133157469053
ARG,2010,-0.07718891458694532,-0.13002940030794963,-0.030831970475174497,0.265341752904106,-0.6311666382788101,0.12501911066433458
ARG,2011,-0.14255345537948771,-0.15798906077686325,-0.2066599694756346,0.2707092344967348,-0.7779867334079551,0.13782948506622272
ARG,2012,-0.17933076523636016,-0.27968221369187485,-0.3983387369219873,0.1905089657943766,-0.9625390041024606,0.035658021719857214
ARG,2013,-0.13768780541205128,-0.36000450049989374,-0.2005931739391511,0.10891785687966582,-1.0297755469500647,-0.05081015851424997
ARG,2014,-0.12501724794817393,-0.27919988474065294,-0.14231885710320924,0.17852624790071991,-0.9420626203468638,0.023435935691199283
AUS,1998,0.005648245555572751,0.4106943090682684,1.6275427378679126,-0.4399462485849621,1.8131517128267671,-0.054964960332194
AUS,1999,0.009221385404250215,0.45337194911099965,1.6590805879386656,-0.4124832268660277,1.7754334705781178,0.05567830954580022
AUS,2000,-0.01142947628610258,0.4460123023247299,2.0409091394466166,-0.3921043584585526,1.6085916158555942,0.0869900949120912
AUS,2001,-0.012976569690314133,0.6118028899831995,1.9984130527391943,-0.3529375691711911,1.8398700989482133,0.15269301589586837
AUS,2002,-0.015103824787777498,0.5391769194856267,2.1271515148545754,-0.31561649408280057,1.6018613006274618,0.14732361606863043
AUS,2003,-0.01514973170510725,0.6167745697732399,2.0400293661286124,-0.239063179612802,1.678765385514377,0.21799585068262428
AUS,2004,-0.01126032763344098,0.5856757668160115,1.8824279439722833,-0.25001230459230084,1.630428038751842,0.19030563672112666
AUS,2005,-0.048868305659460654,0.588312805580828,1.6489795392122544,-0.10827031035641554,1.5706141112250114,0.29303735455113555
AUS,2006,-0.04990990326306277,0.6508208165966365,1.6214673014848884,0.03526322443960317,1.5060807539837788,0.42196695804632955
AUS,2007,-0.06074664646459427,0.6789140323328754,1.5538183517449076,0.0812928887710227,1.373889037003729,0.4995315976100616
AUS,2008,-0.06656201617807345,0.4700979730592686,1.522294367455356,0.05648973398465884,0.9749367813750154,0.3579171422254397
AUS,2009,-0.03651919284401095,0.6760925535606925,1.5189701980174004,0.3152973989651231,1.0949505476597854,0.5895034016335995
AUS,2010,-0.04039513369910286,0.6454379657151667,1.5819228855067373,0.3221151359690424,1.0540410404748228,0.5598892895276879
AUS,2011,-0.07463227434519049,0.5534870254919488,1.4815710579140535,0.29090019423294433,0.8326877662114607,0.5431304274840658
AUS,2012,-0.04801517475477979,0.5641560384323121,1.476958716191812,0.3162803687985791,0.7914880169694503,0.5779900724287464
AUS,2013,-0.07432773482186106,0.5300313059566187,1.6130647055829173,0.29847157074139585,0.7126941026598899,0.5696404243956872
AUS,2014,-0.08260295832497366,0.584960874741419,1.6116106987160106,0.3487409122117673,0.739870497478349,0.6282611923469906
BGD,1998,0.1315926544464433,-2.925497310457126,NA,-2.6902437435155004,-2.6191451237904957,-2.8735546773833915
BGD,1999,0.15841886595924737,-2.934449972451366,NA,-2.6271880000483216,-2.7811931656539115,-2.860803793119487
BGD,2000,0.15921216340374367,-2.7777609828211407,-7.681884282251597,-2.431295601391617,-3.048121380543883,-2.652979688780655
BGD,2001,0.16022389465434506,-3.2722300152645394,-7.577879780937621,-3.01690750357462,-3.0745974481353966,-3.220905795249459
BGD,2002,0.1664994747935038,-3.1320914009599017,-3.845552395522742,-2.8525660778641755,-3.3924584447507367,-3.0028273038470834
BGD,2003,NA,-3.380869380497807,-4.0384242954714935,-3.112378583893569,-3.479507737799905,-3.275874345951365
BGD,2004,NA,-3.46628036166625,-4.3408236943182565,-3.1764035953809104,-3.662377685753558,-3.3463222151362992
BGD,2005,0.13282782232544765,-3.4497379846736527,NA,-3.0962772718201226,-3.6056204191049837,-3.3215487383897466
BGD,2006,0.13324086330319784,-3.5451795728805178,NA,-3.044238248844233,-4.767831201573693,-3.281948720969872
BGD,2007,0.15567830951923556,-3.6656221754973233,NA,-3.1757607987996357,-4.306830023866695,-3.432594500159868
BGD,2008,0.1739513683561238,-3.3040782041689365,NA,-2.785253085392198,-4.650806417049301,-2.9727306166667002
BGD,2009,0.1733297154204536,-3.5539787488786585,NA,-3.021522860961049,-4.195454357058277,-3.2784741619095588
BGD,2010,0.17286648446115782,-3.319313660125583,NA,-2.6849792632405385,-4.7009262552299,-2.9564028323641525
BGD,2011,0.18495298070783284,-2.9046223950236305,NA,-2.2412775509047203,-4.723421328833062,-2.489798661734837
BGD,2012,NA,-2.812948452146693,NA,-2.15335087082067,-4.0753804765128026,-2.42332491523445
BGD,2013,0.21431895605618823,-2.929112878102201,-6.589822773908621,-2.221019125748287,-4.5118490623917165,-2.5199347286875478
BGD,2014,0.2325963682288319,-2.925329037598707,-5.636104668925558,-2.247892377149305,-4.1615960369345695,-2.5468648953452107
BRA,1998,NA,-1.2421110148208,-2.1768764163338337,-1.734667346732255,0.28845030633577595,-1.857627308994755
BRA,1999,NA,-0.8860943539019233,-1.967256691310007,-1.3620546772027315,0.6575564097334414,-1.5280327098744604
BRA,2000,0.14382980149525404,-0.950352219478799,-1.475085549713576,-1.48231107481225,0.493877622286123,-1.618426183563632
BRA,2001,0.14124064755908594,-0.812108433482764,-1.390689782639745,-1.3095174077523153,0.5467557655597086,-1.4275265349734454
BRA,2002,0.14478827395106975,-0.7678397437239803,-1.3652516726202464,-1.3885928511364036,0.5588052434708777,-1.4904008939488904
BRA,2003,0.1435023156951547,-0.7944998413937939,-1.5690528323963169,-1.2557727888205998,0.438394036423845,-1.388997895693373
BRA,2004,0.13403039073924228,-0.8787992261460645,-2.0199115391001357,-1.4452759463439848,0.41687787148114497,-1.5895642115460733
BRA,2005,0.12483311653157636,-1.012415440392108,-2.4332711882650058,-1.5314599583382613,0.3178041776576981,-1.6975233079888061
BRA,2006,0.12604150929981794,-1.1170439565151524,-2.64049692994565,-1.7535509055970326,0.2092174194896419,-1.9206936667078272
BRA,2007,0.1491886533386464,-1.121865825925345,-2.541882113797581,-1.6043750173752416,0.009915224607186968,-1.7781598941212624
BRA,2008,0.16312633564132228,-1.0930553430220993,-2.4581752360679485,-1.7093125296889478,-0.0565036765912188,-1.8302091584378088
BRA,2009,0.16438049852342018,-1.2534864817009272,-2.335499332175578,-1.8938381363988421,-0.27956185280479673,-2.023947771045687
BRA,2010,0.15964613115861792,-1.3116844055166594,-1.942127147514909,-1.79067790042181,-0.43785872966172246,-1.9120477184880829
BRA,2011,0.1657849038284802,-1.3642246720467692,-1.9367890196323407,-1.93651192802734,-0.5117621580975054,-2.0047598696384634
BRA,2012,0.20512496094008592,-1.222758221659476,-2.2691535747556184,-1.9809489246695584,-0.30208849874255517,-2.098369872210468
BRA,2013,0.19139770492438368,-1.207190290255772,-2.025754044318742,-2.0132352641176183,-0.2616163537078373,-2.1282562657977824
BRA,2014,0.1953266705719412,-1.0893940257346926,-1.8183887482543177,-1.824960386007752,-0.1902392243116917,-1.9270342550116997
