iso,year,ehb_crude_dev_non_ppp,eq_ehb_crude_dev_non_ppp,debt_ehb_crude_dev_non_ppp,fdi_ehb_crude_dev_non_ppp,eq_debt_ehb_crude_dev_non_ppp
AUS,1993,0.22205403990120098,0.756982985996284,Inf,0.5742631799131341,0.09802610290578873
AUS,1994,0.04781859686247536,0.5729438954671293,Inf,0.4842339715047814,-0.2037128409717659
AUS,1995,0.09003280832558547,0.539101393439418,Inf,0.4161713172223991,-0.14850580207132857
AUS,1996,0.012326007950679063,0.33372506852958495,Inf,0.4006280338725965,-0.3313379075553833
AUS,1997,-0.15526577043898837,0.06394199449920457,Inf,0.27610251262133656,-0.5670885206721947
AUS,1998,-0.16261708803086072,-0.020036149637486123,Inf,0.3184413435463924,-0.5970892110397841
AUS,1999,-0.19970204863928087,-0.006942953143087571,Inf,0.24503900666872758,-0.5152434096770819
AUS,2000,-0.3208190839021867,-0.0647511811723489,Inf,0.025481832659697945,-0.5565147256142482
AUS,2001,-0.20765848923024016,-0.009571538222777898,-1.1382082418374049,0.20457385306089249,-0.552662824196952
AUS,2002,-0.30733794107782886,0.07907138071574304,-1.1542031805907567,0.059957970210375855,-0.5855918326382326
AUS,2003,-0.34207401945838933,0.008724303454573423,-1.1910073498824014,0.05703739565559762,-0.637097912789286
AUT,1993,-0.3876808831443035,-0.5070588775128777,Inf,-0.6577206467001782,0.015113203231631012
AUT,1994,-0.3518075269272458,-0.39511900447823445,Inf,-0.7062405323889247,0.08814055462881365
AUT,1995,-0.35344796470761297,-0.5357800831272499,Inf,-0.7681731888768497,0.04141010607548257
AUT,1996,-0.3399113918797021,-0.6699920387419009,Inf,-0.8339696657913866,0.019254528699983675
AUT,1997,-0.16602904308934763,-0.2934869181298838,Inf,-0.6605978800812864,0.16556835856847818
AUT,1998,-0.15682353304073648,-0.21614241452433935,Inf,-0.6480957755073757,0.15116408964078065
AUT,1999,0.02885129020947097,-0.04584886779107089,Inf,-0.6900467211435561,0.37251415623446704
AUT,2000,0.19891878941789937,0.3212418498554803,Inf,-0.557857845922398,0.574024540924806
AUT,2001,0.096765650565039385,-0.010130884188024547,0.9291936977371548,-0.547969233532559,0.4444826011964027
AUT,2002,0.2684537376854598,-0.006731779382353809,1.062344585569794,-0.3197800856410853,0.6110194933612587
AUT,2003,0.2189545936644045,-0.005385340431234731,1.0114821571105577,-0.36182818729926014,0.5561410066660826
BEL,1993,1.5800685398793848,2.117280282071464,Inf,1.2421684572126779,2.013517449085538
BEL,1994,1.45962725985439,1.9359421823540317,Inf,1.1336164725765785,1.8875634451770962
BEL,1995,1.3998933056778098,1.6661494113487432,Inf,0.9785285962538821,1.7975759246465284
