"","iso","country","year","gdp_usd_ppp","gni_usd_ppp","cons_usd_ppp","gdp_b3_adj","acons_b4_adj","pop_c4_adj","d_log_gdp_ppp","d_log_gni_ppp","d_log_cons_ppp","d_log_acons_b4","d_log_gdp_b3","agg_d_log_gdp_ppp","agg_d_log_gni_ppp","agg_d_log_cons_ppp","agg_d_log_acons_b4","agg_d_log_gdp_b3","dev_gdp_ppp","dev_gni_ppp","dev_cons_ppp","dev_acons_b4","dev_gdp_b3"
"81","FIN","Finland",1995,105546475995.914,104046986721.144,77098135426.8891,1.056e+11,6.81e+10,5108000,0.0301516013432774,0.0518426996083043,0.0297304354296752,0.0336749266418259,0.0309589674242936,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,0.0154970343500196,0.0351267969247342,0.0214595309006924,0.0237231044025421,0.0163023589776241
"82","FRA","France",1995,1359951912568.31,1359016393442.62,1134898863636.36,1.36e+12,9.936e+11,59419000,0.0130397957774768,0.0119105432215001,0.00475419862087634,0.00750723181205792,0.013084142400885,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,-0.00161477121578102,-0.00480535946207006,-0.00351670590810649,-0.00244459042722589,-0.00157246604578454
"83","GBR","United Kingdom",1995,1286115506329.11,1259806962025.32,1115365733113.67,1.2852e+12,1.0063e+12,57928000,0.0258620015652351,0.012655891461268,0.0134460359738142,0.015987620868982,0.0258268592868944,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,0.0112074345719773,-0.00406001122230215,0.00517513144483139,0.00603579862969816,0.0111702508402249
"84","GRC","Greece",1995,150178362573.099,154597953216.374,136737237237.237,1.501e+11,1.213e+11,10634000,0.0181480569051615,0.016260782011722,0.0273472081815509,0.0224065085984559,0.0182326154934707,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,0.00349348991190368,-0.000455120671848164,0.0190763036525681,0.0124546863591721,0.00357600704680117
"85","IRL","Ireland",1995,67774396642.1826,61925498426.0231,47200859291.0849,6.77e+10,4.26e+10,3601000,0.087808128790936,0.0569461719036415,0.0306976992746151,0.0219866165548748,0.0870086059707873,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,0.0731535617976782,0.0402302692200713,0.0224267947456323,0.012034794315591,0.0723519975241178
"86","ISL","Iceland",1995,6226598557.69231,6027776442.30769,5155566502.46305,6.2e+09,4.4e+09,267000,-0.00294129294109524,0.00445654561753628,0.0170022585011314,-0.00375234961855142,-0.00375234961854964,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,-0.0175958599343531,-0.0122593570660339,0.00873135397214853,-0.0137041718578352,-0.0184089580652191
"87","ITA","Italy",1995,1312860148514.85,1298940594059.41,1033983688833.12,1.3132e+12,9.325e+11,57301000,0.0271251139708486,0.0245175327756044,0.00583935062350172,0.00897913082954993,0.0271208451350393,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,0.0124705469775908,0.00780163009203427,-0.00243155390548111,-0.000972691409733883,0.0124642366883698
"88","JPN","Japan",1995,3078983225806.45,3138633548387.1,2160287500000,3.0873e+12,1.9602e+12,125570000,0.0142765973935859,0.0136816325659144,0.0181453191271039,0.0160599919414928,0.0142937520667754,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,-0.000377969599671957,-0.00303427011765578,0.00987441459812111,0.00610816970220895,-0.000362856379894083
"89","MEX","Mexico",1995,689004411764.706,646673039215.686,587212500000,6.89e+11,5.443e+11,90164000,-0.0727001325607759,-0.102376860196404,-0.0972118941293534,-0.100122224885006,-0.0727230025250947,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,-0.0873546995540337,-0.119092762879975,-0.105482798658336,-0.110074047124289,-0.0873796109717642
"90","NLD","Netherlands",1995,362018378378.378,369477837837.838,284542099192.618,3.622e+11,2.398e+11,15460000,0.0247544252916558,0.0349290895404923,0.0192038871945304,0.0210719299497395,0.0248637725089917,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,0.010099858298398,0.0182131868569222,0.0109329826655475,0.0111201077104557,0.0102071640623222
"91","NOR","Norway",1995,136622308546.06,134847790330.211,83777142857.1429,1.366e+11,7.3e+10,4358000,0.0378205501814843,0.0425619438879234,0.0249000150769536,0.031435806315196,0.0377929025516366,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,0.0231659831882265,0.0258460412043533,0.0166291105479708,0.0214839840759122,0.0231362941049671
"92","NZL","New Zealand",1995,69743448275.8621,64773103448.2759,55355714285.7143,6.99e+10,4.98e+10,3707000,0.0244576430761487,0.0276565941424458,0.0228455526954701,0.0249454925766859,0.0233485497541501,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,0.00980307608289088,0.0109406914588757,0.0145746481664872,0.0149936703374021,0.00869194130748063
"93","PRT","Portugal",1995,147153846153.846,146520276449.892,125308426073.132,1.471e+11,1.136e+11,10030000,0.0387379036568429,0.0435925730660536,0.00362808980988127,0.00298550614896875,0.0391572082467579,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,0.0240833366635851,0.0268766703824834,-0.00464281471910155,-0.00696631609031506,0.0245005998000885
"94","SWE","Sweden",1995,203560391730.141,204050707290.533,165668938547.486,2.036e+11,1.466e+11,8827000,0.0345075235201726,0.0405040476637524,0.000105114670416739,0.0043707774016184,0.0348606174154131,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,0.0198529565269148,0.0237881449801822,-0.00816578985856609,-0.00558104483766542,0.0202040089687436
"95","TUR","Türkiye",1995,378907113647.1,383418928389.949,323576752379.984,3.789e+11,2.885e+11,61646000,0.0518850439110157,0.0587006945517068,0.0316014727501344,0.0307285949085507,0.0518297368195242,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,0.0372304769177578,0.0419847918681366,0.0233305682211515,0.0207767726692669,0.0371731283728547
"96","USA","United States",1995,7.9728e+12,7.8735e+12,6.7181e+12,7.9728e+12,5.9503e+12,266588000,0.0132361637955718,0.0205371140360668,0.00969376931804433,0.0133481933173094,0.0132361637955718,0.0146545669932578,0.0167159026835701,0.00827090452898283,0.00995182223928381,0.0146566084466695,-0.00141840319768605,0.00382121135249669,0.00142286478906151,0.0033963710780256,-0.0014204446510977
"97","AUS","Australia",1996,438016030534.351,420226717557.252,343824615384.615,4.368e+11,3.067e+11,18420000,0.0249093471861546,0.034283881033538,0.0131714926678335,0.0161508706731421,0.024789948891133,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,0.00400273365887038,0.0117416123681728,-0.00310243897090068,-0.00219830419083245,0.00387601710100327
"98","AUT","Austria",1996,204382932166.302,202950765864.333,166986316989.738,2.044e+11,1.496e+11,7959000,0.0244721495673783,0.0288210490775889,0.0275890335208508,0.0277814558299969,0.0243864740449098,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,0.00356553604009413,0.00627878041222374,0.0113151018821167,0.00943228096602233,0.00347254225478011
"99","BEL","Belgium",1996,237893593919.653,247346362649.294,188717948717.949,2.378e+11,1.693e+11,10155000,0.00991420899464934,0.00387380590631814,0.0131164632964591,0.0137024007502564,0.0100703714804382,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,-0.0109924045326348,-0.018668462759047,-0.00315746834227504,-0.00464677411371817,-0.0108435603096915
"100","CAN","Canada",1996,715266666666.667,691017886178.862,5.668e+11,7.132e+11,5.087e+11,29611000,0.00548279294305942,0.0064463650387534,0.00445857599467558,0.00796093314474433,0.00548080141430773,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,-0.0154238205842248,-0.0160959036266117,-0.0118153556440586,-0.0103882417192303,-0.0154331303758219
"101","CHE","Switzerland",1996,198885789473.684,210661052631.579,143683769633.508,1.992e+11,1.321e+11,7105000,0.00182198808677647,0.00282163288079396,0.00673900542033401,0.00727097001867527,0.00164910237518257,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,-0.0190846254405077,-0.0197206357845712,-0.00953492621840013,-0.0110782048452993,-0.0192648294149471
"102","DEU","Germany",1996,1907091743119.27,1921853211009.17,1588222820236.81,1.9067e+12,1.4165e+12,81896000,0.00475836449882472,0.00468776421502426,0.00917048978627832,0.00991518872516117,0.0047602078966591,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,-0.0161482490284595,-0.0178545044503409,-0.00710344185245582,-0.00843398613881341,-0.0161537238934706
"103","DNK","Denmark",1996,136564328180.737,132518430439.952,108461916461.916,1.366e+11,9.63e+10,5262000,0.0187744824353722,0.0247354910374789,0.021309987259098,0.0223380307792649,0.0191052844891324,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,-0.00213213109191202,0.00219322237211372,0.00503605562036391,0.0039888559152903,-0.00180864730099728
"104","ESP","Spain",1996,696641509433.962,697831536388.14,561260563380.282,6.965e+11,5.055e+11,39279000,0.0226543215211734,0.0204844270200653,0.0178804198371747,0.0185539692055503,0.0225482795647771,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,0.00174770799388924,-0.00205784164529987,0.00160648819844056,0.00020479434157572,0.00163434777464744
"105","FIN","Finland",1996,109655771195.097,108691521961.185,79702649656.526,1.097e+11,7.05e+10,5125000,0.0348721328249901,0.0403486168857459,0.0299011473169006,0.0313129098085785,0.034768409154843,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,0.013965519297706,0.0178063482203807,0.0136272156781665,0.0129637349446039,0.0138544773647133
"106","FRA","France",1996,1374950819672.13,1378511475409.84,1152831818181.82,1.375e+12,1.0072e+12,59624000,0.00752448521357074,0.0107989410050067,0.0122336890328381,0.0101506345139892,0.0075248943336419,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,-0.0133821283137134,-0.0117433276603585,-0.00404024260589608,-0.00819854034998535,-0.0133890374564878
"107","GBR","United Kingdom",1996,1322346518987.34,1299362341772.15,1149846787479.41,1.3214e+12,1.0414e+12,58043000,0.0257981291570726,0.0289318782319068,0.0284630872472196,0.0323024687051525,0.0257941772697219,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,0.0048915156297884,0.00638960956654167,0.0121891556084854,0.0139532938411779,0.0048802454795922
"108","GRC","Greece",1996,153719298245.614,157862573099.415,139647147147.147,1.536e+11,1.243e+11,10709000,0.0162764346860271,0.0138688728487928,0.0140296614683884,0.0174030882300702,0.0160219877375649,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,-0.00463017884125705,-0.00867339581657234,-0.00224427017034579,-0.000946086633904386,-0.00489194405256477
"109","IRL","Ireland",1996,73386149003.148,67770199370.4092,49896885069.8174,7.34e+10,4.51e+10,3626000,0.072632191488541,0.0832720091370263,0.0486279519471839,0.0501094655673864,0.0739192280363188,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,0.0517255779612569,0.0607297404716611,0.0323540203084498,0.0317602907034118,0.0530052962461891
"110","ISL","Iceland",1996,6551634615.38461,6303004807.69231,5374741379.31034,6.6e+09,4.7e+09,269000,0.0434216511108083,0.0371855585599512,0.0341707309610939,0.0584952465902084,0.055057635779745,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,0.0225150375835241,0.0146432898945861,0.0178967993223598,0.0401460717262339,0.0341437039896153
"111","ITA","Italy",1996,1327211633663.37,1330264851485.15,1046281053952.32,1.3275e+12,9.447e+11,57397000,0.00919818713729192,0.0221550927008796,0.0101490608631991,0.0113243036812012,0.00915660591274126,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,-0.0117084263899923,-0.000387175964485564,-0.00612487077553503,-0.0070248711827734,-0.0117573258773884
"112","JPN","Japan",1996,3184205806451.61,3239965161290.32,2215299375000,3.1928e+12,2.0103e+12,125864000,0.0312648956686363,0.0294364605901549,0.0228076507497121,0.0228988688749059,0.0312627652871189,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,0.0103582821413521,0.00689419192478979,0.006533719110978,0.0045496940109313,0.0103488334969892
"113","MEX","Mexico",1996,724510947712.418,682053431372.549,597793229166.667,7.246e+11,5.55e+11,92159000,0.0283640863512229,0.031382070223172,-0.00402695288034138,-0.00241756356827416,0.0284933955727649,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,0.00745747282393872,0.00883980155780684,-0.0203008845190755,-0.0207667384322487,0.00757946378263519
"114","NLD","Netherlands",1996,373021621621.622,376619459459.46,291799307958.478,3.732e+11,2.466e+11,15526000,0.0256814104154763,0.0148845316895851,0.0209250509405638,0.0237023533126184,0.0256579286996637,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,0.00477479688819216,-0.00765773697577998,0.00465111930182971,0.0053531784486438,0.00474399690953398
"115","NOR","Norway",1996,143800665926.748,142094814556.715,88346703296.7033,1.438e+11,7.74e+10,4381000,0.0459440571587528,0.0470841072995967,0.0478448996164378,0.0532635671379555,0.0461027258409228,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,0.0250374436314686,0.0245418386342315,0.0315709679777036,0.034914392273981,0.0251887940507931
"116","NZL","New Zealand",1996,72203448275.8621,66254482758.6207,57440714285.7143,7.24e+10,5.19e+10,3762000,0.0199365133407792,0.0078848731979555,0.0222456603351766,0.0265759994309924,0.0204128434416617,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,-0.000970100186505007,-0.0146573954674096,0.00597172869644247,0.00822682456701784,-0.00050108834846796
"117","PRT","Portugal",1996,152370769230.769,151109111695.912,129208267090.62,1.523e+11,1.177e+11,10058000,0.0320504741536549,0.028050609425069,0.0278597334621846,0.0326677722032507,0.0319518965177963,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,0.0111438606263707,0.00550834075970386,0.0115858018234505,0.0143185973392761,0.0110379647276666
"118","SWE","Sweden",1996,206188465723.613,206448639825.898,167790167597.765,2.062e+11,1.484e+11,8841000,0.0112431201926402,0.0100983494233535,0.0111379590690461,0.0106187548951571,0.0111045005209203,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,-0.009663493334644,-0.0124439192420116,-0.00513597256968801,-0.00773041996881751,-0.00980943126920941
"119","TUR","Türkiye",1996,405450768424.471,411103679478.64,351069831697.741,4.055e+11,3.13e+11,62695000,0.0508350097701538,0.0528438904357049,0.0646754578479207,0.0646347500542479,0.050975200993161,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,0.0299283962428696,0.0303016217703398,0.0484015262091866,0.0462855751902733,0.0300612692030313
"120","USA","United States",1996,8.2714e+12,8.1856e+12,6.9114e+12,8.2714e+12,6.1444e+12,269714000,0.0251102898924529,0.0272160797352257,0.0167091028677309,0.0204417165895219,0.0251102898924529,0.0209066135272842,0.0225422686653651,0.0162739316387341,0.0183491748639746,0.0209139317901297,0.00420367636516872,0.00467381106986053,0.000435171228996722,0.00209254172554729,0.00419635810232322
"121","AUS","Australia",1997,457551908396.947,440886259541.985,359593076923.077,4.563e+11,3.213e+11,18625000,0.032567096717635,0.0369248245282954,0.0337736284500636,0.0354374615631432,0.0326073300642005,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,0.00593640471118562,0.00715203122210717,0.0156589867418404,0.0155269636848363,0.00598887307844187
"122","AUT","Austria",1997,208142231947.484,205062363238.512,168324971493.729,2.081e+11,1.515e+11,7968000,0.0170961442715356,0.00922057039867319,0.00685443375339645,0.0114904029504626,0.0168097186114551,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,-0.0095345477349138,-0.020552222907515,-0.0112602079548267,-0.00842009492784435,-0.00980873837430352
"123","BEL","Belgium",1997,246130293159.609,254643865363.735,191506131549.61,2.46e+11,1.718e+11,10180000,0.0315787372909035,0.0266175142011313,0.0122074449606355,0.0121999043210366,0.031442735585653,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,0.00494804528445414,-0.00315527910505686,-0.00590719674758766,-0.00771059355727033,0.00482427859989443
"124","CAN","Canada",1997,745627642276.423,722421138211.382,584794214876.033,7.435e+11,5.253e+11,29907000,0.031624250226967,0.0344959020561024,0.0213068552960163,0.0221644233399427,0.0316602271199713,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,0.00499355822051761,0.00472310874991422,0.00319221358779309,0.00225392546163583,0.0050417701342127
"125","CHE","Switzerland",1997,202679473684.211,216584210526.316,145462827225.131,2.03e+11,1.343e+11,7113000,0.0177697118946689,0.0266036445607902,0.0111803962559911,0.0153915577985995,0.0177712996889756,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,-0.00886098011178049,-0.00316914874539798,-0.00693424545223209,-0.00451894007970743,-0.00884715729678298
"126","DEU","Germany",1997,1933673802242.61,1937767584097.86,1596627556512.38,1.9333e+12,1.428e+12,82052000,0.0119392409143959,0.00634360304100134,0.00337491658256361,0.00618278062653843,0.0119513452656363,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,-0.0146914510920535,-0.0234291902651869,-0.0147397251256596,-0.0137277172517685,-0.0146671117201223
"127","DNK","Denmark",1997,140619738406.659,136691319857.313,110831449631.45,1.407e+11,9.86e+10,5285000,0.0249021474435889,0.0266420738447053,0.0172500277583261,0.0192415061004088,0.0252115802795529,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,-0.00172854456286053,-0.00313071946148291,-0.00086461394989712,-0.000668991777898142,-0.00140687670620565
"128","ESP","Spain",1997,724690026954.178,722401617250.674,578639436619.718,7.246e+11,5.213e+11,39348000,0.0377179468856301,0.0328483963297135,0.0287391661285739,0.0290225305767482,0.0377968625043295,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,0.0110872548791807,0.00307560302352528,0.0106245244203507,0.0091120326984413,0.0111784055185709
"129","FIN","Finland",1997,116512768130.746,116042900919.305,82312070657.5074,1.165e+11,7.26e+10,5140000,0.0577322038895112,0.062523607554617,0.0292923784210188,0.0264296575699241,0.0572193512819688,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,0.0311015118830618,0.0327508142484287,0.0111777367127956,0.0065191596916172,0.0306008942962102
"130","FRA","France",1997,1401136612021.86,1410299453551.91,1161590909090.91,1.4012e+12,1.0119e+12,59831000,0.0154000662927771,0.0193320405307755,0.00410342905142613,0.00118980429964211,0.0154095375167245,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,-0.0112306257136723,-0.0104407527754127,-0.0140112126567971,-0.0187206935786648,-0.0112089194690341
"131","GBR","United Kingdom",1997,1365685126582.28,1363604430379.75,1181200988467.88,1.3647e+12,1.0765e+12,58167000,0.0301143341852956,0.046123804061228,0.0247689340540962,0.0310150076295201,0.0301087752021854,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,0.00348364217884622,0.0163510107550398,0.006654292345873,0.0111045097512132,0.00349031821642676
"132","GRC","Greece",1997,159311403508.772,163976608187.134,143475975975.976,1.592e+11,1.277e+11,10777000,0.0294028747333623,0.0316691964202249,0.0207190185960737,0.0206560403258713,0.0294797285007533,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,0.00277218272691293,0.00189640311403672,0.00260437688785053,0.000745542447564418,0.00286127151499471
"133","IRL","Ireland",1997,81338929695.6978,74254984260.2309,53262083780.8808,8.13e+10,4.83e+10,3661000,0.093283308052369,0.0817761206963823,0.0556599051444611,0.0589430923444549,0.0926158591278554,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,0.0666526160459195,0.0520033273901941,0.0375452634362379,0.039032594466148,0.0659974021420968
"134","ISL","Iceland",1997,6857379807.69231,6648978365.38461,5611527093.59606,6.9e+09,4.9e+09,271000,0.0382033971531097,0.046029299029021,0.0357049930327058,0.0342652551227065,0.0370443212929707,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,0.0115727051466603,0.0162565057228328,0.0175903513244826,0.0143547572443996,0.0104258643072122
"135","ITA","Italy",1997,1354103960396.04,1360410891089.11,1072820577164.37,1.3544e+12,9.716e+11,57512000,0.0180581417914158,0.0204071365240726,0.0230476254950691,0.0260751958226653,0.0180594931725668,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,-0.00857255021503356,-0.00936565678211565,0.00493298378684592,0.00616469794435837,-0.00855896381319177
"136","JPN","Japan",1997,3243243225806.45,3293924516129.03,2236231875000,3.252e+12,2.0288e+12,126166000,0.0159743799221559,0.0141205976282119,0.00700815710222535,0.00676397935421313,0.0159753756917169,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,-0.0106563120842935,-0.0156521956779763,-0.0111064846059978,-0.0131465185240938,-0.0106430812940417
"137","MEX","Mexico",1997,773574673202.614,738871405228.758,633507118055.556,7.736e+11,5.896e+11,93938000,0.04640568836993,0.060896250048911,0.0389066682496946,0.0413565831359755,0.0463155216853899,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,0.0197749963634806,0.0311234567427228,0.0207920265414714,0.0214460852576686,0.0196970646996313
"138","NLD","Netherlands",1997,387340540540.54,394467027027.027,300711649365.629,3.875e+11,2.549e+11,15607000,0.032464377463425,0.0410967752200513,0.0248820720344014,0.0279002270748983,0.0323978862432845,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,0.0058336854569756,0.0113239819138631,0.00676743032617821,0.00798972919659136,0.00577942925752595
"139","NOR","Norway",1997,151262042175.361,149651763837.074,91008241758.2418,1.513e+11,7.98e+10,4405000,0.045122384674217,0.0463532271590932,0.0242179366907322,0.025073473303701,0.0453779249509818,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,0.0184916926677676,0.016580433852905,0.00610329498250906,0.00516297542539412,0.0187594679652232
"140","NZL","New Zealand",1997,73251724137.931,67627586206.8966,5.947e+10,7.35e+10,5.35e+10,3803000,0.00357448246028369,0.00967335486504695,0.0238791256523161,0.0195233656628346,0.00423960875983731,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,-0.0230562095461657,-0.0200994384411413,0.0057644839440929,-0.000387132215472263,-0.0223788482259213
"141","PRT","Portugal",1997,158404615384.615,156137897008.06,133168521462.639,1.583e+11,1.204e+11,10091000,0.0355601948440558,0.0294618023562627,0.0269142290179296,0.0194049188758711,0.0353641072532316,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,0.00892950283760641,-0.000310990949925483,0.00879958730970642,-0.000505579002435752,0.00874565026747298
"142","SWE","Sweden",1997,211214689880.305,211347878128.4,170086703910.615,2.112e+11,1.505e+11,8846000,0.0235190840549073,0.0228884364141955,0.0130287466584615,0.0134863664331828,0.0233935932267784,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,-0.00311160795154208,-0.00688435689199274,-0.00508589504976165,-0.0064241314451241,-0.00322486375898023
"143","TUR","Türkiye",1997,435976345665.525,444403486931.52,379004539756.75,4.36e+11,3.384e+11,63745000,0.0559794822416535,0.061278409978808,0.0599539789294905,0.0614163872443303,0.0559123198459819,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,0.0293487902352041,0.0315056166726198,0.0418393372212673,0.0415058893660234,0.0292938628602233
"144","USA","United States",1997,8.6476e+12,8.6057e+12,7.1411e+12,8.6476e+12,6.3637e+12,272958000,0.0325222456438947,0.0380924625780121,0.0207388050634485,0.0231130724400934,0.0325222456438947,0.0266306920064494,0.0297727933061882,0.0181146417082232,0.0199104978783069,0.0266184569857586,0.00589155363744531,0.00831966927182393,0.00262416335522531,0.00320257456178652,0.00590378865813612
"145","AUS","Australia",1998,481848091603.053,460176335877.863,376388461538.461,4.806e+11,3.375e+11,18836000,0.0404733943551658,0.0315576594665004,0.0343835340878194,0.0379250760750871,0.0406196672533259,0.0217296980956121,0.0283301179930024,0.0238540875192808,0.0264218426821277,0.0217194115302615,0.0187436962595537,0.00322754147349791,0.0105294465685386,0.0115032333929594,0.0189002557230644
"146","AUT","Austria",1998,215554704595.186,212375273522.976,171334093500.57,2.156e+11,1.543e+11,7977000,0.0338641928610119,0.0339118434738985,0.0165900678255131,0.0171842537729958,0.034277224988557,0.0217296980956121,0.0283301179930024,0.0238540875192808,0.0264218426821277,0.0217194115302615,0.0121344947653999,0.00558172548089608,-0.00726401969376766,-0.00923758890913184,0.0125578134582955
"147","BEL","Belgium",1998,251128121606.949,262369163952.226,196376811594.203,2.51e+11,1.765e+11,10203000,0.017845427268453,0.027629788589719,0.0228587114958554,0.0247330832524053,0.0178646196286287,0.0217296980956121,0.0283301179930024,0.0238540875192808,0.0264218426821277,0.0217194115302615,-0.00388427082715914,-0.000700329403283462,-0.000995376023425365,-0.00168875942972235,-0.00385479190163274
"148","CAN","Canada",1998,776056910569.106,751143902439.024,601633884297.521,7.739e+11,5.393e+11,30157000,0.0316750173159477,0.0306644830889518,0.0200645767909258,0.0179779723956273,0.0317493983885644,0.0217296980956121,0.0283301179930024,0.0238540875192808,0.0264218426821277,0.0217194115302615,0.00994531922033559,0.00233436509594931,-0.00378951072835498,-0.0084438702865004,0.0100299868583029
"149","CHE","Switzerland",1998,208340526315.79,225102105263.158,148173298429.319,2.087e+11,1.374e+11,7132000,0.0248804987162767,0.0359070612018542,0.0157943488563248,0.0201526720095409,0.0250242307918516,0.0217296980956121,0.0283301179930024,0.0238540875192808,0.0264218426821277,0.0217194115302615,0.00315080062066464,0.00757694320885172,-0.00805973866295595,-0.00626917067258681,0.0033048192615901
"150","DEU","Germany",1998,1971498470948.01,1982913353720.69,1625476856835.31,1.9711e+12,1.4557e+12,82029000,0.0196525301108412,0.0233109227504258,0.01818794485796,0.0194923700125766,0.0196437245359178,0.0217296980956121,0.0283301179930024,0.0238540875192808,0.0264218426821277,0.0217194115302615,-0.00207716798477087,-0.00501919524257666,-0.0056661426613207,-0.00692947266955102,-0.00207568699434368
"151","DNK","Denmark",1998,144090249702.735,140629845422.117,113653562653.563,1.441e+11,1.009e+11,5303000,0.020980401990391,0.0250059059054202,0.021744243087177,0.0196585869181813,0.0204774600523407,0.0217296980956121,0.0283301179930024,0.0238540875192808,0.0264218426821277,0.0217194115302615,-0.00074929610522112,-0.00332421208758227,-0.00210984443210371,-0.00676325576394632,-0.00124195147792072
