"","iso","country","year","gdp_usd_ppp","gni_usd_ppp","cons_usd_ppp","gdp_b3_adj","acons_b4_adj","pop_c4_adj","d_log_gdp_ppp","d_log_gni_ppp","d_log_cons_ppp","d_log_acons_b4","d_log_gdp_b3","agg_d_log_gdp_ppp","agg_d_log_gni_ppp","agg_d_log_cons_ppp","agg_d_log_acons_b4","agg_d_log_gdp_b3","dev_gdp_ppp","dev_gni_ppp","dev_cons_ppp","dev_acons_b4","dev_gdp_b3"
"27","BEL","Belgium",1993,222473398479.913,232019543973.941,179303232998.885,2.224e+11,1.602e+11,10086000,-0.0135395308722348,0.00662099921758319,-0.00757305320851565,-0.00823426053843512,-0.013717721102271,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,-0.0167722782956581,0.00457626724476334,-0.0127073672977485,-0.0154685853981782,-0.0169388581065562
"28","CAN","Canada",1993,653440650406.504,631236585365.854,541771074380.165,6.516e+11,4.774e+11,28682000,0.0121364451417083,0.0140942260909434,0.00154281134299872,0.00670869487492354,0.012089039121383,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,0.00890369771828503,0.0120494941181235,-0.0035915027462341,-0.000525629984819531,0.00886790211709787
"29","CHE","Switzerland",1993,195025789473.684,201652631578.947,139614659685.864,1.953e+11,1.285e+11,6989000,-0.00890017845105362,0.00706941585061216,-0.0128502876853265,-0.0120362137370815,-0.00916041893763264,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,-0.0121329258744769,0.00502468387779231,-0.0179846017745593,-0.0192705385968246,-0.0123815559419178
"30","DEU","Germany",1993,1817783893985.73,1842973496432.21,1518313240043.06,1.8174e+12,1.3462e+12,81179000,-0.0181547413744472,-0.014770456849142,-0.00610947102612158,-0.00529915813708826,-0.0181770085516817,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,-0.0213874887978704,-0.0168151888219619,-0.0112437851153544,-0.0125334829968313,-0.0213981455559669
"31","DNK","Denmark",1993,122921640903.686,117927942925.089,98729484029.484,1.23e+11,8.77e+10,5189000,-0.00348844953094662,0.00460890861285002,0.0135267223019664,0.0137768147369712,-0.00347490697151898,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,-0.0067211969543699,0.00256417664003017,0.00839240821273357,0.00654248987722816,-0.00669604397580414
"32","ESP","Spain",1993,646411051212.938,645083509839.7,535245070422.535,6.463e+11,4.818e+11,39096000,-0.0125450282203285,-0.00854436140553716,-0.0110365736457112,-0.0149628179975174,-0.0126429669649024,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,-0.0157777756437518,-0.010589093378357,-0.016170887734944,-0.0221971428572605,-0.0158641039691876
"33","FIN","Finland",1993,98167517875.383,93009193054.1369,73153091265.947,9.82e+10,6.43e+10,5066000,-0.0172501135174485,-0.0278071273416387,-0.0448497996599784,-0.0488623390992853,-0.0168946211158634,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,-0.0204828609408718,-0.0298518593144586,-0.0499841137492112,-0.0560966639590283,-0.0201157581201485
"34","FRA","France",1993,1310536612021.86,1316579234972.68,1113930681818.18,1.3106e+12,9.696e+11,5.9e+07,-0.0130897894502642,-0.0083399726414477,0.00638068792881441,0.00109557487651202,-0.0130658050501342,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,-0.0163225368736875,-0.0103847046142675,0.00124637383958159,-0.00613874998323105,-0.0162869420544194
"35","GBR","United Kingdom",1993,1197447784810.13,1185914556962.03,1070228995057.66,1.1966e+12,9.617e+11,57672000,0.0211616817966753,0.0200647050530431,0.0178530244378159,0.0251952883270086,0.0211016183005253,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,0.017928934373252,0.0180199730802233,0.0127187103485831,0.0179609634672655,0.0178804812962401
"36","GRC","Greece",1993,144206140350.877,148678679814.307,130843843843.844,1.441e+11,1.161e+11,10558000,-0.0216294750574786,-0.0248751331341737,-0.00748045378018602,-0.0132306553318582,-0.0220265346895925,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,-0.0248622224809019,-0.0269198651069935,-0.0126147678694188,-0.0204649801916013,-0.0252476716938776
"37","IRL","Ireland",1993,58454354669.4649,55580272822.6653,43701396348.0129,5.84e+10,3.97e+10,3574000,0.0212462018212509,0.0401886601688108,0.0167621668827387,0.0253625929173733,0.0206901952198635,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,0.0180134543978276,0.038143928195991,0.0116278527935059,0.0181282680576302,0.0174690582155783
"38","ISL","Iceland",1993,5980444711.53846,5780733173.07692,4893423645.3202,6e+09,4.2e+09,264000,-0.00353343744054335,-0.018347116835109,-0.040632213990456,-0.0579487114585149,0.00537842249275755,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,-0.00676618486396663,-0.0203918488079289,-0.0457665280796888,-0.065183036318258,0.00215728548847238
"39","ITA","Italy",1993,1248014851485.15,1242007425742.57,1016499372647.43,1.2483e+12,9.143e+11,57049000,-0.0122126546708543,-0.0201018092024174,-0.0322049208515924,-0.0376312466850663,-0.0122682197940591,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,-0.0154454020942776,-0.0221465411752373,-0.0373392349408252,-0.0448655715448094,-0.0154893567983443
"40","JPN","Japan",1993,2987768387096.77,3046663870967.74,2.05364e+12,2.9958e+12,1.8698e+12,124670000,-0.000338666032977386,0.00129801475243951,0.0140404095217477,0.0129285081149124,-0.00033817910457401,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,-0.00357141345640066,-0.000746717220380333,0.00890609543251486,0.00569418325516935,-0.00355931610885918
"41","MEX","Mexico",1993,703237745098.039,679262745098.039,614591319444.444,7.033e+11,5.71e+11,87797000,0.00140106680884777,0.00113162661682864,-0.00214889459197565,-0.000960869967014943,0.00146542711599018,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,-0.0018316806145755,-0.000913105355991206,-0.00728320868120846,-0.00819519482675801,-0.00175570988829499
"42","NLD","Netherlands",1993,341577297297.297,342181621621.622,273750865051.903,3.417e+11,2.3e+11,15290000,-0.000595109057266896,0.00604880387518492,0.000252716238485107,-0.000107673205054226,-0.000629292223898403,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,-0.00382785648069017,0.00400407190236507,-0.00488159785074771,-0.0073419980647973,-0.00385042922818357
"43","NOR","Norway",1993,124380022197.558,121418414787.643,79148241758.2418,1.244e+11,6.84e+10,4312000,0.0208401368080526,0.019101104611547,0.0185407243345015,0.0191199351516165,0.0208375931907216,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,0.0176073893846294,0.0170563726387272,0.0134064102452687,0.0118856102918734,0.0176164561864365
"44","NZL","New Zealand",1993,63608965517.2414,58635172413.7931,50741428571.4286,6.38e+10,4.52e+10,3598000,0.0496198213249315,0.0461061424444615,0.0192456391590756,0.0254688383451285,0.0502093748309225,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,0.0463870739015082,0.0440614104716417,0.0141113250698428,0.0182345134853854,0.0469882378266373
"45","PRT","Portugal",1993,139761538461.538,139074719795.07,122314785373.609,1.397e+11,1.112e+11,9974000,-0.0217485974701219,-0.0209270428790198,0.00692230156941243,0.00793000903645513,-0.0216497177784909,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,-0.0249813448935452,-0.0229717748518397,0.00178798748017961,0.000695684176712064,-0.0248708547827761
"46","SWE","Sweden",1993,187809140369.967,184232970620.239,163317653631.285,1.878e+11,1.438e+11,8719000,-0.0260210279792314,-0.0448253158350695,-0.0280828919578973,-0.0420602452553105,-0.025898767534164,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,-0.0292537754026547,-0.0468700478078894,-0.0332172060471301,-0.0492945701150536,-0.0291199045384491
"47","TUR","Türkiye",1993,373884990994.449,376800810482.24,325633623561.563,3.739e+11,2.905e+11,59491000,0.0588580090256059,0.0573072098380507,0.0638830789647375,0.0636182204067843,0.0587686037106625,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,0.0556252616021826,0.0552624778652309,0.0587487648755047,0.0563838955470413,0.0555474667063773
"48","USA","United States",1993,7.472e+12,7.3293e+12,6.383e+12,7.472e+12,5.6001e+12,260282000,0.013560831271695,0.00888361278265037,0.0114453323258363,0.0181837457007266,0.013560831271695,0.00323274742342328,0.00204473197281985,0.00513431408923282,0.00723432485974307,0.00322113700428517,0.0103280838482718,0.00683888080983053,0.00631101823660352,0.0109494208409835,0.0103396942674099
"49","AUS","Australia",1994,404749618320.611,382636641221.374,322629230769.231,4.037e+11,2.871e+11,17961000,0.0303245524802875,0.0263664354887503,0.033150340366424,0.0372471791148072,0.0302980546221843,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,0.00890697669449203,0.00639075604349948,0.0185611731687096,0.0195594210100083,0.00890134650659924
"50","AUT","Austria",1994,195434354485.777,193958424507.659,160477765108.324,1.954e+11,1.446e+11,7936000,0.0224743700336951,0.0211778390990798,0.0265826598322594,0.027827451273625,0.0221342121433405,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,0.00105679424789962,0.00120215965382897,0.0119934926345451,0.010139693168826,0.00073750402775552
"51","BEL","Belgium",1994,229652551574.376,240877307274.701,183079152731.327,2.296e+11,1.641e+11,10116000,0.0287899792010364,0.0344960908724321,0.0178701710863152,0.0210829583086021,0.0288910969157978,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,0.00737240341524092,0.0145204114271813,0.00328100388860086,0.00339520020380313,0.0074943888002128
"52","CAN","Canada",1994,684872357723.577,660458536585.366,551298347107.438,6.829e+11,4.917e+11,28999000,0.0359891725895807,0.0342620184093381,0.00644098886908395,0.0185224621868763,0.0359259609128646,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,0.0145715968037852,0.0142863389640873,-0.00814817832863035,0.000834704082077309,0.0145292527972796
"53","CHE","Switzerland",1994,197105789473.684,205165263157.895,141219371727.749,1.974e+11,1.297e+11,7037000,0.00376432498866563,0.0104247861564097,0.00458385380756532,0.00245072849770267,0.0038508306273286,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,-0.0176532507971299,-0.00955089328884107,-0.010005313390149,-0.0152370296070963,-0.0175458774882564
"54","DEU","Germany",1994,1860441386340.47,1872109072375.13,1539655543595.26,1.8601e+12,1.3682e+12,81422000,0.0202067318297257,0.0126964298651568,0.0109697965088582,0.0132212850178313,0.0202344277092035,0.0214175757857955,0.0199756794452508,0.0145891671977143,0.0176877581047989,0.021396708115585,-0.00121084395606985,-0.00727924958009396,-0.00361937068885609,-0.00446647308696768,-0.00116228040638156
