"iso","year","Population","GDP","consumption","GDP_pc","consumption_pc","gdp_log_diff","consumption_log_diff","gdp_log_diff_total","cons_log_diff_total","gdp_dev","cons_dev","EHB_dev","ehb_crude_dev","eq_ehb_crude_dev","debt_ehb_crude_dev","fdi_ehb_crude_dev","eq_debt_ehb_crude_dev","time"
"AUS",1987,16263874,511483771496.244,375527301270.718,31449.073664506,23089.6587904406,0.0282223700428652,-0.00299091533437945,0.0264267860041336,0.0256324845211857,0.00179558403873159,-0.0286233998555652,0.0715417161142456,-0.105997348345321,1.07186073563005,-1.21060703292281,1.81579343122209,-0.827114854280975,-15
"AUS",1988,16532164,541299311107.209,388886997653.467,32742.1934059697,23523.0546741169,0.0402950358994953,0.0185961443140403,0.0361894545725097,0.0273623119707995,0.00410558132698569,-0.00876616765675919,0.0371179186066913,0.0542599459139406,1.23493332207599,-0.979322186250526,1.89710946347518,-0.596967602356246,-14
"AUS",1989,16814416,553178373982.694,400277977256.298,32899.0536443665,23805.6425662537,0.00477932836527728,0.0119416449959608,0.0300033251798482,0.0279933224325255,-0.0252239968145709,-0.0160516774365647,0.0124979097581052,0.0131748546705817,0.948956220182772,-1.03191039927212,1.60758322349026,-0.568426790204215,-13
"AUS",1990,17065128,528933531104.955,398533446440.946,30994.993480562,23353.6746071255,-0.0596182019332137,-0.0191682927052224,0.0162998503788749,0.0204478251048368,-0.0759180523120886,-0.0396161178100591,-0.000277568675915663,-0.0148859657750871,0.959874170772372,-0.960764489893376,1.74207020166607,-0.587292892828151,-12
"AUS",1991,17284036,522486025668.68,407189646082.845,30229.3992947411,23558.7131433217,-0.0250107533845956,0.00874139440106347,-0.000985688662884954,0.00469049216383688,-0.0240250647217106,0.00405090223722659,-0.0015666546453218,-0.00996765216599171,1.17708040423396,-0.906698435561508,1.62845282769082,-0.471471451636208,-11
"AUS",1992,17478635,542843415183.375,418703347954.558,31057.5405449782,23955.1514151167,0.0270266931550225,0.016687654240501,0.00826162927352136,0.0168808942533314,0.0187650638815011,-0.000193240012830387,0.000464490752562718,0.0143297737939434,1.50601095378329,-0.918295931105809,1.76930683929133,-0.464411223451979,-10
"AUS",1993,17634808,560396823165.016,426000692348.319,31777.8806077739,24156.8092121173,0.022928838801457,0.00838290418001719,0.00363182375234672,0.00941717192261748,0.0192970150491103,-0.00103426774260029,0.00377044779631408,0.129550473859646,1.52605491973758,-0.83983743457407,1.82487313487513,-0.357899363892957,-9
"AUS",1994,17805468,584047149188.773,443906129567.236,32801.5612501044,24930.8880601867,0.03170564395848,0.031541223740648,0.0180722425717459,0.0150324771960904,0.0136334013867341,0.0165087465445577,-0.00275717095419148,0.098172442081282,1.54070774695881,-0.904066399650411,1.76809429886251,-0.430988744507966,-8
"AUS",1995,18004882,595520098743.082,450819102321.693,33075.4791252218,25038.7146287153,0.00831608257358774,0.00431569314479496,0.0187988454557413,0.0100511321893499,-0.0104827628821536,-0.00573543904455498,-0.00926061242830023,0.180327456056209,1.68916478882114,-0.785523907890022,1.72768416871729,-0.31164795307028,-7
"AUS",1996,18224767,610735538564.649,457496547348.329,33511.2947432826,25103.0121454134,0.0130903426029985,0.00256463253568739,0.0149434476987285,0.0137386134916628,-0.00185310509573,-0.0111739809559754,0.000974996398076522,0.25378890907093,1.6604051239158,-0.663399473046382,1.79514263404389,-0.231625224142472,-6
"AUS",1997,18423037,645127011627.57,485625975097.712,35017.4084559223,26359.713390236,0.0439627837672578,0.0488489919396624,0.0198060540446612,0.0172615528886499,0.0241567297225966,0.0315874390510125,-0.00139172617386008,0.211556840086148,1.60713819572634,-0.659763986578471,1.68410189805933,-0.265569449589325,-5
"AUS",1998,18607584,675021636679.606,515288936638.534,36276.6943134372,27692.4149120345,0.0353301828587824,0.0493217091339488,0.0137527026659701,0.0166299773888614,0.0215774801928124,0.0326917317450874,0.0108708410846052,0.295764054710546,1.59067737927931,-0.58266623006365,1.70320161944516,-0.186723950824411,-4
