"iso","year","Population","GDP","GNI","GDP_pc","GNI_pc","gdp_log_diff","GNI_log_diff","gdp_log_diff_total","gni_log_diff_total","gdp_dev","gni_dev","EHB_dev","ehb_crude_dev_non_ppp","eq_ehb_crude_dev_non_ppp","debt_ehb_crude_dev_non_ppp","fdi_ehb_crude_dev_non_ppp","eq_debt_ehb_crude_dev_non_ppp","time"
"AUS",1993,17634808,5603968231.65016,5480924284.13893,317.778806077739,310.801471960394,0.0229288388014579,0.0276648186664596,-0.00340563508537883,-0.00388240817350027,0.0263344738868367,0.0315472268399599,0.0563579225182711,-0.401856712001028,0.756982985996284,-1.18624871894108,0.574263179913134,-0.751273390004209,-5
"AUS",1994,17805468,5840471491.88773,5639641665.01439,328.015612501044,316.736502798713,0.0317056439584791,0.0189158522464234,0.0187885389977023,0.0188164926266712,0.0129171049607768,9.93596197522706e-05,0.0533295829634177,-0.50069562812909,0.572943895467129,-1.32785337802796,0.484233971504781,-0.901652135710696,-4
"AUS",1995,18004882,5955200987.43082,5745066485.71781,330.754791252218,319.083817695545,0.00831608257358774,0.00738361290243184,0.0158487713628999,0.0144459526849436,-0.00753268878931213,-0.00706233978251181,0.051120469869953,-0.489156965981911,0.539101393439418,-1.26800883766547,0.416171317222399,-0.849137349861227,-3
"AUS",1996,18224767,6107355385.64649,5902664286.22065,335.112947432825,323.881467797127,0.0130903426029993,0.014923789055743,0.0148317097559252,0.0178701593677086,-0.00174136715292583,-0.00294637031196565,0.0714258900030031,-0.517204723919751,0.333725068529585,-1.25373844770296,0.400628033872596,-0.896140169067514,-2
"AUS",1997,18423037,6451270116.27569,6248371734.66892,350.174084559223,339.160787370124,0.0439627837672569,0.0460966852389548,0.0186296603121461,0.022191209762874,0.0253331234551109,0.0239054754760808,0.0738852339027554,-0.588265976398751,0.0639419944992046,-1.25634798335318,0.276102512621337,-0.95510922640484,-1
"AUS",1998,18607584,6750216366.79606,6540086533.1769,362.766943134372,351.474244758315,0.0353301828587824,0.0356621422227059,0.018980453161662,0.0217722047165152,0.0163497296971205,0.0138899375061907,0.0952939341760789,-0.552623308050515,-0.0200361496374861,-1.22280654294569,0.318441343546392,-0.938889253915481,0
"AUS",1999,18812264,7088576716.77848,6884710581.74845,376.806147137765,365.969273116115,0.0379702584865029,0.0404129404565969,0.0203275958208504,0.0202952471772466,0.0176426626656525,0.0201176932793503,0.116284562724009,-0.534800211413108,-0.00694295314308757,-1.18462569857005,0.245039006668728,-0.848001619928575,1
"AUS",2000,19028802,7245292831.84536,7042980651.15467,380.754018663149,370.122125983269,0.010422689688447,0.0112836447596907,0.0261166437776845,0.0293960548351491,-0.0156939540892376,-0.0181124100754584,0.133679217702268,-0.624352740756018,-0.0647511811723489,-1.23006525666274,0.0254818326596979,-0.901571504279746,2
"AUS",2001,19274701,7418443658.46537,7217700143.2453,384.879830741103,374.464960221448,0.0107776113030642,0.0116652130160597,0.00303976255030847,0.0038019078815763,0.00773784875275574,0.00786330513448341,0.147715657608074,-0.5199850606839,-0.0095715382227779,-1.27791504588445,0.204573853060892,-0.90172510447711,3
"AUS",2002,19495210,7648220908.81523,7433551920.17197,392.312824987021,381.301454058303,0.0191283868450141,0.0180920458613567,0.00568943842718639,0.00382292913555471,0.0134389484178277,0.014269116725802,0.145260351259815,-0.604472356704703,0.079071380715743,-1.30274059718573,0.0599579702103759,-0.93308548167299,4
"AUS",2003,19720737,8009564148.30997,7782114519.06414,406.149331452976,394.615805639725,0.0346613589706664,0.0343223673464461,0.0110416401145388,0.0103800031386667,0.0236197188561276,0.0239423642077794,0.165617507915325,-0.617485342963091,0.00872430345457342,-1.30978184023838,0.0570373956555976,-0.942272800757038,5
"AUT",1993,7905632,3034111181.14332,3042569869.7323,383.791097428178,384.861054717991,-0.0114683438171541,-0.0111717835693925,-0.00340563508537883,-0.00388240817350027,-0.00806270873177528,-0.00728937539589225,0.0298991652934717,0.16375165796204,-0.507058877512878,0.523956008827177,-0.657720646700178,0.399412970649268,-5
"AUT",1994,7936118,3094064216.19052,3098903571.74109,389.871246394084,390.481035153597,0.0157181597226526,0.0144970302401681,0.0187885389977023,0.0188164926266712,-0.00307037927504972,-0.00431946238650305,-0.0030769117920636,0.142162357102617,-0.395119004478235,0.495961660319694,-0.706240532388925,0.378372793825616,-4
"AUT",1995,7948278,3163270564.60466,3151158153.34072,397.981872879215,396.457969052004,0.0205899115523369,0.0151906279903775,0.0158487713628999,0.0144459526849436,0.00474114018943705,0.000744675305433873,-0.0234555783907884,0.0738653677092035,-0.53578008312725,0.448896804595385,-0.76817318887685,0.317466469335178,-3
"AUT",1996,7959016,3204775151.5888,3202921577.34,402.659719692585,402.426829816651,0.0116853785411513,0.0149432605145376,0.0148317097559252,0.0178701593677086,-0.00314633121477392,-0.00292689885317099,-0.0353529158207524,-0.0138565639004137,-0.669992038741901,0.362902794671866,-0.833969665791387,0.208653317746794,-2
"AUT",1997,7968041,3272140766.90926,3256919578.56418,410.658123735717,408.747843863275,0.0196692153586309,0.0155851561877753,0.0186296603121461,0.022191209762874,0.00103955504648479,-0.00660605357509869,-0.15399350019626,0.0242522377707928,-0.293486918129884,0.375583976562011,-0.660597880081286,0.230154759548776,-1
"AUT",1999,7992323,3486330131.71342,3430877428.20621,436.20986435526,429.27161830249,0.0315005471862557,0.0215970920586033,0.0203275958208504,0.0202952471772466,0.0111729513654053,0.00130184488135665,-0.346345348277785,0.0814443245350916,-0.0458488677910709,0.488629486639063,-0.690046721143556,0.292040159109568,1
"AUT",2000,8011566,3563165856.52549,3531958958.05098,444.752730805124,440.857500025711,0.0193949988109852,0.0266318325620958,0.0261166437776845,0.0293960548351491,-0.00672164496669936,-0.00276422227305329,-0.499091463073946,0.221923538903341,0.32124184985548,0.582499366309189,-0.557857845922398,0.4281080093175,2
"AUT",2001,8042293,3585026848.87029,3535737352.47817,445.771728146473,439.642941693142,0.00228853407864626,-0.0027587927168442,0.00303976255030847,0.0038019078815763,-0.000751228471662202,-0.00656070059842051,-0.428989338686519,0.183254614578261,-0.0101308841880245,0.569322527834734,-0.547969233532559,0.385986824599539,3
"AUT",2002,8080292,3613007215.58684,3591891415.97209,447.138199409976,444.524952312625,0.00306071707366939,0.0110432877457418,0.00568943842718639,0.00382292913555471,-0.00262872135351699,0.0072203586101871,-0.31742777659715,0.272818347397806,-0.00673177938235381,0.612519085710768,-0.319780085641085,0.455209568373643,4
"AUT",2003,8114402,3651059976.66237,3641833421.56587,449.948126388411,448.811067231555,0.00626458365767935,0.00959582444643825,0.0110416401145388,0.0103800031386667,-0.00477705645685944,-0.000784178692228465,-0.254850563333033,0.244131590914891,-0.00538534043123473,0.606825225992212,-0.36182818729926,0.443305711224214,5
"BEL",1993,10084479,3625608058.55214,3685882240.95842,359.523586548412,365.500512317832,-0.00158748262187824,0.00820441583333764,-0.00340563508537883,-0.00388240817350027,0.00181815246350059,0.0120868240068379,-0.290989002993116,1.51275117021946,2.11728028207146,1.67950898519582,1.24216845721268,1.68158872619339,-5
"BEL",1994,10115601,3732251133.31549,3823679048.23266,368.959899991655,377.998207741949,0.0259081817029658,0.0336217733057049,0.0187885389977023,0.0188164926266712,0.00711964270526355,0.0148052806790337,-0.276911245476779,1.47706209282156,1.93594218235403,1.67255974134645,1.13361647257658,1.65255770304863,-4
"BEL",1995,10136814,3811947217.30556,3895655031.28657,376.04983353799,384.307636628883,0.019033704587117,0.0165539147181812,0.0158487713628999,0.0144459526849436,0.00318493322421709,0.0021079620332376,-0.23753602916576,1.35061355024571,1.66614941134874,1.57844211966495,0.978528596253882,1.5351442730182,-3
"BEL",1996,10156641,3801764924.73259,3890186561.91175,374.313212875456,383.01900814568,-0.00462875609741253,-0.00335875133079,0.0148317097559252,0.0178701593677086,-0.0194604658533377,-0.0212289106984986,-0.19207939800027,1.2850237692792,1.46479535672431,1.50717079509283,0.993435080359056,1.43799297108643,-2
"BEL",1997,10181246,3912189765.94446,4007387492.11607,384.254517172501,393.604819303656,0.0262122236504805,0.0272627916966099,0.0186296603121461,0.022191209762874,0.0075825633383344,0.00507158193373591,-0.144623928533676,1.24853714561051,1.25619589295313,1.48637771298075,0.99490482985531,1.38894047942091,-1
"BEL",1998,10203012,4022779159.92966,4120478076.128,394.273687018075,403.849184547465,0.0257401670848276,0.0256940934207632,0.018980453161662,0.0217722047165152,0.00675971392316566,0.00392188870424803,-0.0741764767978209,1.21424251069786,1.30750032506003,1.4037591036091,1.15236430824443,1.30897712250352,0
"BEL",1999,10226419,4143795997.83597,4240324775.76033,405.204988944416,414.644146280368,0.0273477793488972,0.0263791708532386,0.0203275958208504,0.0202952471772466,0.00702018352804679,0.00608392367599198,-0.161455456686956,1.18658888694004,1.24288786345668,1.40200665777283,1.13744235456788,1.27369325135223,1
"BEL",2000,10251251,4275599273.60673,4385789474.73484,417.0807322547,427.829683882957,0.0288867209896493,0.0313045079888736,0.0261166437776845,0.0293960548351491,0.00277007721196476,0.00190845315372457,-0.121851843637465,1.14523989504112,1.20474452567175,1.30919601069744,1.17758645218664,1.18756478997882,2
"BEL",2001,10286571,4302093489.10007,4382567658.29303,418.224254622854,426.047480573752,0.00273797738667358,-0.00417438472738052,0.00303976255030847,0.0038019078815763,-0.000301785163634882,-0.00797629260895683,-0.10219545538993,1.08842907767406,1.06585297890731,1.2607778264695,1.06762184578943,1.14114360528255,3
"BEL",2002,10332786,4375300910.03839,4450913123.67211,423.4386456894,430.756344288182,0.0123908462154212,0.0109918069645216,0.00568943842718639,0.00382292913555471,0.0067014077882348,0.00716887782896691,-0.160985190009841,1.11430342745444,1.05025740591558,1.26436138657178,1.11177735958705,1.15981148285191,4
"BEL",2003,10376131,4432078877.29463,4516705990.34738,427.141761924038,435.297703001955,0.00870732407709163,0.0104875679592897,0.0110416401145388,0.0103800031386667,-0.00233431603744716,0.000107564820623018,-0.163274756361939,1.09614793019203,0.996381707498157,1.26144581007118,1.12320806212242,1.14608237228459,5
"CAN",1993,28684764,8853758477.87584,8552828562.07282,308.65718392788,298.166251675378,0.00956991840728438,0.0114955246620729,-0.00340563508537883,-0.00388240817350027,0.0129755534926632,0.0153779328355732,0.0546093042018339,0.210350104193077,1.30479741139605,-0.470165494983438,1.15245904783616,-0.107694787392191,-5
"CAN",1994,29000663,9370806120.96658,9035172681.36601,323.123858270639,311.550555977497,0.0458044879678301,0.0439104010717735,0.0187885389977023,0.0188164926266712,0.0270159489701278,0.0250939084451023,0.0438510530389054,0.20942544889866,1.26171243792673,-0.391380366731882,1.06245849115533,-0.068367870620587,-4
"CAN",1995,29302311,9632953129.95077,9301113456.26909,328.74380215099,317.419109239169,0.0172430186835593,0.0186613882807931,0.0158487713628999,0.0144459526849436,0.0013942473206594,0.00421543559584947,0.0440100097484384,0.31367637264698,1.25836565325927,-0.317611252371144,1.16666791763809,0.00359898010974491,-3
"CAN",1996,29610218,9805752220.05217,9479955927.48587,331.16109513453,320.158261836704,0.00732621868853567,0.00859242995244536,0.0148317097559252,0.0178701593677086,-0.00750549106738951,-0.00927772941526328,0.0511264409296163,0.365727237421592,1.24857683401078,-0.350456910860282,1.25755514601353,0.0121567953896456,-2
"CAN",1997,29905948,10177794682.6795,9862077746.77973,340.32676986797,329.769775122318,0.0273012946778168,0.0295793180693211,0.0186296603121461,0.022191209762874,0.00867163436567076,0.00738810830644709,0.0620521693583542,0.358074571781932,1.06844598581404,-0.423949991248799,1.2601834297826,-0.047255454054825,-1
"CAN",1998,30155173,10451025752.976,10099398074.2686,346.5748895878,334.914280686387,0.0181926829354619,0.0154798606902391,0.018980453161662,0.0217722047165152,-0.000787770226200024,-0.0062923440262761,0.0802021194807124,0.335534824214183,0.916039029282425,-0.525856997259432,1.27978146233124,-0.131197390048306,0
"CAN",1999,30401286,11008732009.6853,10638197999.3566,362.114024047708,349.925920875734,0.0438602189426529,0.0438468569062271,0.0203275958208504,0.0202952471772466,0.0235326231218025,0.0235516097289805,0.107037262626697,0.30750623945303,0.908991131528079,-0.69653683958257,1.20525674080361,-0.12147205949225,1
"CAN",2000,30685730,11760845938.8887,11452265829.662,383.267595031591,373.211451370459,0.0567742809748779,0.0644236753341403,0.0261166437776845,0.0293960548351491,0.0306576371971934,0.0350276204989912,0.0196347668625569,0.147260309182104,0.714096468850123,-0.878363442559797,0.98242918944391,-0.3119657885749,2
