iso,year,EHB_dev,ehb_crude_dev,eq_ehb_crude_dev,debt_ehb_crude_dev,fdi_ehb_crude_dev,eq_debt_ehb_crude_dev
AUS,1970,NA,NA,-1.3012854692933375,NA,0.5278825366685793,NA
AUS,1971,NA,NA,-1.4761851626743514,NA,0.5337724372358443,NA
AUS,1972,NA,NA,-1.4721898647425613,NA,0.8096562978362192,NA
AUS,1973,NA,NA,-1.6639716570619774,NA,0.35028510189723416,NA
AUS,1974,NA,NA,-1.8905896973406513,NA,-0.08929858138107871,NA
AUS,1975,NA,NA,-1.7363529693650097,NA,0.17209828834677943,NA
AUS,1976,NA,NA,-1.4501034659928695,NA,0.172867230186164,NA
AUS,1977,NA,NA,-1.188037582776789,NA,0.18245858344133303,NA
AUS,1978,NA,NA,-1.2747116456015677,NA,0.2495238884751365,NA
AUS,1979,0.10852749285080032,NA,-1.2274033534407707,NA,0.286182332625152,NA
AUS,1980,0.1345240571621822,NA,-1.270079900473247,NA,0.2676970301000723,NA
AUS,1981,0.12641214723565564,NA,-1.4476698262677505,NA,0.11712921577925428,NA
AUS,1982,0.1069066607183552,NA,-0.6315585390695553,NA,0.251825767710149,NA
AUS,1983,0.10092532807694132,NA,-0.39835821254282777,NA,0.16222221945476312,NA
AUS,1984,0.08961621871336822,NA,-0.30628423688005846,NA,0.0455237584970849,NA
AUS,1985,0.05894862276540025,NA,0.18151761485795959,NA,0.26847161914959683,NA
AUS,1986,0.06598106724916175,NA,0.657641180476114,NA,0.44383116017192314,NA
AUS,1987,0.07552867263426788,NA,0.6007549367740257,NA,0.9559270815953318,NA
AUS,1988,0.041669563733866766,0.3033739574487251,0.7027978634001317,-1.700920489745585,0.9819682624154566,-0.23105807698007785
AUS,1989,0.02179067068072038,0.04371902081570411,0.5263699551355585,-2.0428918217762146,0.7011231379333389,-0.37736448784925036
AUS,1990,0.0175393360498316,-0.02156261267777948,0.5379741198173091,-1.742822522879683,0.618679719804542,-0.43054697205934245
AUS,1991,0.030082108841673616,-0.08961557282606258,0.6428169139463251,-1.2865230804336405,0.42113631867580326,-0.27638596976526664
AUS,1992,0.03982743337408179,0.030175080905237905,0.7456860702419577,-1.0001796221777535,0.4994108485063977,-0.15238424084358027
AUS,1993,0.0591793147884887,0.10374301669219976,0.61778857953699,-0.882729465918231,0.5236715477972258,-0.11226417072292216
AUS,1994,0.055331666905059196,-0.04677182490181875,0.4693698403303448,-1.3450577041864014,0.4397920472011909,-0.35934127096888124
AUS,1995,0.05246790386888156,0.03017828989684368,0.4566498467653033,-1.2575586275038133,0.3960244001467472,-0.2736901169690338
