iso,year,EHB_dev,ehb_crude_dev,eq_ehb_crude_dev,debt_ehb_crude_dev,fdi_ehb_crude_dev,eq_debt_ehb_crude_dev
ARG,1970,NA,-1.142026718406771,NA,-0.9763814005232563,NA,-0.9707220173393045
ARG,1971,NA,-1.2532339280612188,NA,-1.0862398855170174,NA,-1.0850934449743868
ARG,1972,NA,-1.4358466938713463,NA,-1.266701004401515,NA,-1.2723680007383793
ARG,1973,NA,-1.6322669347234444,NA,-1.4302056905439855,NA,-1.4774578792002
ARG,1974,NA,-1.7613755164599323,NA,-1.5780614834306252,NA,-1.6138957960896354
ARG,1975,NA,-0.5877317430159077,NA,-0.40236990221683966,NA,-0.43845638572249124
ARG,1976,NA,-0.6737632665064277,-1.9662249804844132,-0.4802554735065847,NA,-0.5294829142029926
ARG,1977,0.05530128652778199,-0.03865599825601551,-1.8170459057955206,-0.3009389383951455,1.1485397046405268,-0.3433238486741903
ARG,1978,0.0544891725383696,-0.2122142077421283,-2.043026724327059,-0.44699380591593707,1.0449406031649322,-0.4820313929874649
ARG,1979,0.07660713037057254,-0.6820231508222379,-2.4311539209654818,-0.8743580444831318,0.5628961184647627,-0.9116196206934317
ARG,1980,0.09260437500144691,-0.8111050248125267,-2.897251371545914,-0.8888089426909467,0.23069103181639772,-0.9248634724930653
ARG,1981,0.05626124545183442,-0.5355807810430206,-2.5116247928907702,-0.5574630947479711,0.17460751348566284,-0.5913818952404131
ARG,1982,0.043913804670738465,0.09964471271716269,-1.8484004754637473,0.11841914804609988,0.7812025746627778,0.07412808346159538
ARG,1983,0.05275566933250353,0.09664003230504048,-2.1090487298886194,0.17689222989240427,0.5929416918333046,0.1301495574999998
ARG,1984,0.03582092537113113,-0.09925340185043852,-2.2203364962147543,-0.0118634878645143,0.34215294906658844,-0.05793035475424779
ARG,1985,0.029240937211590268,0.15156782081249376,-1.7520929708753608,0.25856162545202044,0.41931158450829864,0.19973926091032013
ARG,1986,-0.07868072939757509,-0.13218090920255565,-1.2373202105709247,-0.03567674297624546,0.3120328202366913,-0.10009868981330228
ARG,1987,-0.18397139864605994,-0.03076312707995732,-0.8072274538031827,0.08356929820739767,0.2110903000539972,0.027353841839798054
ARG,1988,-0.15871366077661364,0.023560323366782043,-0.5707004656127772,0.15238923154748973,0.17643533777385967,0.0918144528115572
ARG,1989,-0.19068680244298508,0.8022557180093467,-0.2477589391834334,0.9676877128193316,0.4395514477809539,0.8964315387645628
ARG,1990,-0.12924570567062055,0.41421642981851736,-0.7391725263099804,0.544465872535121,0.5793052835313666,0.4794330752209319
ARG,1991,0.048162413502431445,0.22603056847780478,-0.9176278954820214,0.3829588829634403,0.32121218400895435,0.3020475228020407
ARG,1992,0.047943267733798534,0.02892908649879411,-0.6933583638177865,0.16789133538138024,0.35653874842168287,0.09545713351898955
ARG,1993,0.028924868151003147,0.09065063693836461,-0.16914471971187695,0.22522723714404003,0.28662843604157695,0.1572326731846998
ARG,1994,-0.019737863345006712,0.030192236480337975,0.07213489579276366,0.15432639018576055,0.2322901416019607,0.09782534510647589
ARG,1995,-0.05318476168960928,0.20569145185355597,0.34876879742813793,0.3425682867739157,0.2981947366238509,0.2842699895436991
