"iso","year","Population","GDP","consumption","GDP_pc","consumption_pc","gdp_log_diff","consumption_log_diff","gdp_log_diff_total","cons_log_diff_total","gdp_dev","cons_dev","EHB_dev","ehb_crude_dev","eq_ehb_crude_dev","debt_ehb_crude_dev","fdi_ehb_crude_dev","eq_debt_ehb_crude_dev","time"
"AUS",1987,16263874,511483771496.244,375527301270.718,31449.073664506,23089.6587904406,0.0282223700428652,-0.00299091533437945,0.0247904042698863,0.0247627962255557,0.00343196577297888,-0.0277537115599351,0.0755286726342679,-0.65985497318876,0.600754936774026,-1.68331097887596,0.955927081595332,-1.31243282649566,-15
"AUS",1988,16532164,541299311107.209,388886997653.467,32742.1934059697,23523.0546741169,0.0402950358994953,0.0185961443140403,0.0353856933560674,0.0272620399960779,0.0049093425434279,-0.00866589568203757,0.0416695637338668,-0.496047149249457,0.702797863400132,-1.43106664169397,0.981968262415457,-1.06522434690261,-14
"AUS",1989,16814416,553178373982.694,400277977256.298,32899.0536443665,23805.6425662537,0.00477932836527728,0.0119416449959608,0.0300259627653485,0.0275267846323199,-0.0252466344000712,-0.0155851396363591,0.0217906706807204,-0.663961840487192,0.526369955135559,-1.59187851384928,0.701123137933339,-1.1565300963282,-13
"AUS",1990,17065128,528933531104.955,398533446440.946,30994.993480562,23353.6746071255,-0.0596182019332137,-0.0191682927052224,0.0148940786499754,0.0195406086173158,-0.074512280583189,-0.0387089013225381,0.0175393360498316,-0.657567173199726,0.537974119817309,-1.50411693178645,0.618679719804542,-1.14819794211876,-12
"AUS",1991,17284036,522486025668.68,407189646082.845,30229.3992947411,23558.7131433217,-0.0250107533845956,0.00874139440106347,-0.00331430311261016,0.00317382235977703,-0.0216964502719854,0.00556757204128644,0.0300821088416736,-0.644071512833735,0.642816913946325,-1.42461246191296,0.421136318675803,-1.01582575802288,-11
"AUS",1992,17478635,542843415183.375,418703347954.558,31057.5405449782,23955.1514151167,0.0270266931550225,0.016687654240501,0.00692064300625894,0.0154700488067387,0.0201060501487635,0.00121760543376226,0.0398274333740818,-0.546865130028012,0.745686070241958,-1.36997907983688,0.499410848506398,-0.948773372073579,-10
"AUS",1993,17634808,560396823165.016,426000692348.319,31777.8806077739,24156.8092121173,0.022928838801457,0.00838290418001719,0.00191849612916606,0.00789719321884874,0.021010342672291,0.000485710961168451,0.0591793147884887,-0.52391134580241,0.61778857953699,-1.36086670894505,0.523671547797226,-0.924612194617255,-9
"AUS",1994,17805468,584047149188.773,443906129567.236,32801.5612501044,24930.8880601867,0.03170564395848,0.031541223740648,0.0160077203411308,0.0131092060894371,0.0156979236173491,0.0184320176512109,0.0553316669050592,-0.608158872268435,0.469369840330345,-1.47439306470599,0.439792047201191,-1.04676696767428,-8
"AUS",1995,18004882,595520098743.082,450819102321.693,33075.4791252218,25038.7146287153,0.00831608257358774,0.00431569314479496,0.0164189616558748,0.00788541834596757,-0.00810287908228702,-0.0035697252011726,0.0524679038688816,-0.596872025064001,0.456649846765303,-1.43816493159404,0.396024400146747,-1.00817479957354,-7
"AUS",1996,18224767,610735538564.649,457496547348.329,33511.2947432826,25103.0121454134,0.0130903426029985,0.00256463253568739,0.0143345315062628,0.0123294709505206,-0.00124418890326439,-0.00976483841483322,0.0681350123290365,-0.608319997648339,0.308223228974153,-1.40993028393375,0.3922314541752,-1.02513163324511,-6
"AUS",1997,18423037,645127011627.57,485625975097.712,35017.4084559223,26359.713390236,0.0439627837672578,0.0488489919396624,0.0195151624293839,0.0168126444876115,0.0244476213378739,0.0320363474520509,0.0691048701156866,-0.608535125389781,0.127667097594772,-1.33543071884133,0.325271326936187,-1.00153136476261,-5
"AUS",1998,18607584,675021636679.606,515288936638.534,36276.6943134372,27692.4149120345,0.0353301828587824,0.0493217091339488,0.0174795874558704,0.0204575910758287,0.017850595402912,0.0288641180581202,0.0869243270489994,-0.537101422060711,0.0478870932564508,-1.2455022461536,0.348407588473084,-0.934025902613755,-4
"AUS",1999,18812264,708857671677.848,538354167712.555,37680.6147137765,28617.1918336121,0.0379702584865029,0.032849104488486,0.0160177399246013,0.0251573996252539,0.0219525185619016,0.00769170486323212,0.112867512502414,-0.523853249551333,0.0672299665791556,-1.24572763811432,0.294998905302154,-0.86704031873807,-3
"AUS",2000,19028802,724529283184.536,554743863533.703,38075.4018663149,29152.8527930294,0.010422689688447,0.0185451236849961,0.025208860152242,0.0275642349097236,-0.014786170463795,-0.00901911122472754,0.123946876680515,-0.601040888993333,0.0456894469649258,-1.27440832332616,0.0765768645217302,-0.892423789989037,-2
"AUS",2001,19274701,741844365846.537,561044003635.872,38487.9830741103,29107.7928335113,0.0107776113030642,-0.00154684068527544,0.00102400552994553,0.00920533032873294,0.00975360577311868,-0.0107521710140084,0.132070605762623,-0.483780994532588,0.119955892979806,-1.28008218713912,0.240715114799925,-0.864840785644268,-1
"AUS",2002,19495210,764822090881.523,582715209470.837,39231.2824987021,29890.1735077918,0.0191283868450132,0.0265238478638103,0.00425210514906205,0.0134560726341046,0.0148762816959511,0.0130677752297057,0.1314434507021,-0.557608068927003,0.22714807761764,-1.29068892246139,0.120180776379397,-0.890023261049266,0
"AUS",2003,19720737,800956414830.997,606002366134.907,40614.9331452976,30729.1946611786,0.0346613589706664,0.0276833877168521,0.0106311721123795,0.0171283465560563,0.0240301868582868,0.0105550411607958,0.152949176512551,-0.564918248688798,0.158999328323578,-1.27441305558669,0.105043761027805,-0.883121169602744,1
"AUS",2004,19932722,838193011519.901,631115670579.315,42051.1062924522,31662.2923140811,0.0347498846069882,0.0299132870670444,0.0256775004418284,0.0215545313935728,0.00907238416515987,0.00835875567347166,0.172977008052845,-0.590871541597204,0.0845859981145953,-1.2877484691754,0.103086072891806,-0.91382209266863,2
"AUS",2005,20176844,881717178711.359,655923705120.302,43699.4595741217,32508.736506081,0.0384500402510177,0.0263824128424783,0.0189037758643114,0.0185172943837557,0.0195462643867064,0.00786511845872262,0.166077129613764,-0.618046943245976,0.0179644440767475,-1.19242291288212,-0.0437265743753241,-0.855717526767924,3
